"KEY","TEXT"
"account_deletion.cancel_request.button","Cancelar eliminación"
"account_deletion.dialog.cancel_request.message","¿Seguro que quieres [#ff362e]cancelar[#] el proceso de eliminación de cuenta?"
"account_deletion.dialog.cancel_request.title","Cancelar eliminación"
"account_deletion.dialog.cancelled.message","Se ha cancelado el proceso de eliminación de cuenta."
"account_deletion.dialog.cancelled.title","Eliminación cancelada"
"account_deletion.dialog.final_confirmation.player_name_and_id","Nombre de jugador: {0}
Identificador de cuenta: {1}"
"account_deletion.dialog.final_confirmation.region","Esta es tu ubicación actual: {0}.

Procesaremos tu solicitud de acuerdo con la legislación local. Si la ubicación es incorrecta, elige la correcta de esta lista:"
"account_deletion.dialog.final_confirmation.region_unknown","Procesaremos tu solicitud de acuerdo con la legislación local. Elige tu ubicación de esta lista:"
"account_deletion.dialog.final_confirmation.remember_id","Anota el identificador de cuenta indicado arriba por si necesitas ponerte en contacto con nosotros en relación con la eliminación de tu cuenta."
"account_deletion.dialog.final_confirmation.title","Eliminación de cuenta"
"account_deletion.dialog.give_reason.message","Dinos por qué quieres eliminar tu cuenta."
"account_deletion.dialog.give_reason.title","Razón para la eliminación"
"account_deletion.dialog.in_progress.message","Hemos recibido tu solicitud y la procesaremos en breve.

Juego: Empires & Puzzles
Identificador de cuenta: {0}

Si quieres cancelar esta solicitud de eliminación, tienes 7 días para ello."
"account_deletion.dialog.in_progress.title","Eliminación de cuenta pendiente"
"account_deletion.dialog.restart_game.message","El imperio que estás construyendo crece contigo, y el diseño del juego hace que [#!]no se obtenga ningún beneficio reiniciando el progreso[#]. Empires & Puzzles se ha diseñado para jugarse únicamente con una cuenta. Conforme sigas jugando, encontrarás héroes y objetos más útiles.

[#!]Ten en cuenta que no se puede construir nada «mal» en el juego[#]. A medida que progreses, acabarás teniendo todos los edificios posibles."
"account_deletion.dialog.restart_game.title","Reiniciar el juego"
"account_deletion.dialog.start_process.message","Tras enviar una solicitud de eliminación, tu cuenta del juego [#!]se suspenderá de inmediato[#]. Una vez procesada tu solicitud de eliminación, [#!]esta será irreversible[#].

[#!]Perderás todo el progreso del juego[#], incluida la divisa virtual y los objetos que hayas ganado o comprado. No podremos seguir ayudándote si necesitas un reembolso ni con otras consultas que tengas pendientes con el servicio de asistencia en relación con el juego.

Si lo que quieres es bloquear los pagos en tu cuenta o impedir que se juegue con ella, en lugar de eliminarla, ponte en contacto con el equipo de atención al jugador.

Ten en cuenta que la eliminación del juego no cancela las suscripciones activas. [#!]Las suscripciones deberán cancelarse a través del proveedor[#] (Apple, Google, etc.).

Eliminar la cuenta no impide crear una nueva y empezar el juego de cero."
"account_deletion.dialog.start_process.title","Antes de eliminar la cuenta, ten en cuenta lo siguiente..."
"account_deletion.reason_option.bugs_issues","Hay demasiados errores o problemas."
"account_deletion.reason_option.disagree_with_policy","No estoy de acuerdo con las condiciones o la política de privacidad."
"account_deletion.reason_option.harassment_abuse","Me preocupa el acoso o los abusos en el juego."
"account_deletion.reason_option.no_longer_play","Ya no juego."
"account_deletion.reason_option.other","Otra razón."
"account_deletion.reason_option.restart_game","Quiero reiniciar mi partida."
"account_deletion.reason_option.select_reason","[Seleccionar razón]"
"account_deletion.region_dropdown.other","Otra razón (no está en la lista)."
"account_deletion.region_dropdown.select_region","[Seleccionar región]"
"account_deletion.terms_checkbox","Quiero eliminar esta cuenta del juego. Entiendo que perderé todo el progreso y los objetos virtuales que haya acumulado en el juego y que, una vez procesada mi solicitud de eliminación, esta será irreversible."
"accountswitch.cloud","Nube"
"accountswitch.current","Actual"
"accountswitch.keep","Mantener"
"accountswitch.message","Puedes mantener el progreso que desees o cancelar si quieres decidir más adelante."
"accountswitch.replace_cloud","Mantener solo este"
"accountswitch.replace_cloud.info","Si estás seguro de que quieres reemplazar la cuenta de la nube con la cuenta actual, confirma la vinculación."
"accountswitch.replace_cloud.title","Reemplazar cuenta de la nube"
"accountswitch.replace_current.info","Si estás seguro de que quieres reemplazar la cuenta actual con la cuenta de la nube, confirma la vinculación."
"accountswitch.replace_current.title","Reemplazar cuenta actual"
"accountswitch.stronghold","Nivel fortificación"
"accountswitch.switch","Cargar"
"accountswitch.title","Elegir cuenta"
"accountswitch.trophies","Trofeos"
"accountswitch.xp","Nivel EXP"
"ads.disabled.popup.description","No hay anuncios disponibles en esta versión, pero recibirás recompensas igualmente."
"ads.disabled.popup.title","Sin anuncios disponibles"
"advanced_buildings.title#1","Nuevo edificio avanzado desbloqueado"
"advanced_buildings.title#2","Nuevos edificios avanzados desbloqueados"
"advanced_buildings.title#3","Nuevos edificios avanzados desbloqueados"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","Al comienzo de cada batalla, este héroe obtiene un {ATTACK} % de ataque durante {TURNS} turnos.

En batallas con múltiples oleadas, el efecto se reinicia al comienzo de cada una."
