"KEY","TEXT"
"account_deletion.cancel_request.button","Verwijdering annuleren"
"account_deletion.dialog.cancel_request.message","Weet je zeker dat je de verwijderingsprocedure van je account wil [#ff362e]annuleren[#]?"
"account_deletion.dialog.cancel_request.title","Verwijdering annuleren"
"account_deletion.dialog.cancelled.message","De verwijderingsprocedure van het account is geannuleerd."
"account_deletion.dialog.cancelled.title","Verwijdering geannuleerd"
"account_deletion.dialog.final_confirmation.player_name_and_id","Spelersnaam: {0}
accountidentificatie: {1}"
"account_deletion.dialog.final_confirmation.region","Je bevindt je momenteel in: {0} 

We verwerken je verzoek in overeenstemming met de lokale wetgeving. Als deze locatie niet correct is, kies dan de juiste uit de onderstaande lijst:"
"account_deletion.dialog.final_confirmation.region_unknown","We verwerken je verzoek in overeenstemming met de lokale wetgeving. Kies je locatie uit de onderstaande lijst:"
"account_deletion.dialog.final_confirmation.remember_id","Noteer de bovenstaande accountidentificatie als je ooit contact met ons moet opnemen over het verwijderen van de account."
"account_deletion.dialog.final_confirmation.title","Accountverwijdering"
"account_deletion.dialog.give_reason.message","Vertel ons waarom je je account wil verwijderen."
"account_deletion.dialog.give_reason.title","Reden voor verwijdering"
"account_deletion.dialog.in_progress.message","We hebben je verzoek ontvangen en verwerken het binnenkort. 

Spel: Empires & Puzzles
Accountidentificatie: {0}

Je kunt dit verwijderingsverzoek de komende 7 dagen nog annuleren."
"account_deletion.dialog.in_progress.title","Accountverwijdering in behandeling"
"account_deletion.dialog.restart_game.message","Het is de bedoeling dat het rijk dat je opbouwt met je meegroeit, en het spel is zo geïmplementeerd dat [#!]er geen echt voordeel zit in het resetten van je voortgang[#]. Empires & Puzzles is ontworpen om met één account gespeeld te worden. Je vindt naarmate je vordert in het spel meer nuttige helden en voorwerpen. 

[#!]Het is niet mogelijk om iets 'fout' te doen in het spel[#]. Naarmate het spel vordert, krijg je alle mogelijke gebouwen."
"account_deletion.dialog.restart_game.title","Het spel herstarten"
"account_deletion.dialog.start_process.message","Bij het indienen van je verwijderingsverzoek worden je spelaccount en voortgang [#!]onmiddellijk opgeschort[#]. Nadat je verwijderingsverzoek is voltooid, [#!]kunnen we het niet terugdraaien[#]. 

[#!]Al je spelvoortgang gaat verloren[#], inclusief virtuele valuta of items die je hebt verdiend of gekocht. We kunnen je niet langer helpen met terugbetalingen of andere lopende ondersteuningsverzoeken met betrekking tot dit spel.

Als je betalingen op je bestaande account wil blokkeren of het spelen op je account wil opschorten in plaats van deze te verwijderen, neem dan contact op met Spelersondersteuning.

Let op: door je spelaccount te verwijderen worden actieve abonnementen niet geannuleerd. [#!]Abonnementen moeten worden opgezegd via de abonnementsprovider[#] (Apple, Google, etc.).

Als je je account verwijdert, kun je altijd een nieuw account maken en opnieuw beginnen in het spel."
"account_deletion.dialog.start_process.title","Houd voordat je je account verwijdert rekening met het volgende"
"account_deletion.reason_option.bugs_issues","Te veel bugs/problemen"
"account_deletion.reason_option.disagree_with_policy","Niet akkoord met voorwaarden/privacybeleid"
"account_deletion.reason_option.harassment_abuse","Pesterijen/misbruik"
"account_deletion.reason_option.no_longer_play","Speel het spel niet meer"
"account_deletion.reason_option.other","Overig"
"account_deletion.reason_option.restart_game","Ik wil opnieuw beginnen met het spel"
"account_deletion.reason_option.select_reason","[Selecteer reden]"
"account_deletion.region_dropdown.other","Overig (niet in de lijst)"
"account_deletion.region_dropdown.select_region","[Selecteer regio]"
"account_deletion.terms_checkbox","Ik wil dit spelaccount verwijderen. Ik begrijp dat ik alle vordering en verzamelde virtuele items in dit spel kwijtraak en dat mijn verwijderingsverzoek niet ongedaan kan worden gemaakt als het eenmaal is voltooid."
"accountswitch.cloud","Cloud"
"accountswitch.current","Huidig"
"accountswitch.keep","Behouden"
"accountswitch.message","Je kunt je voortgang behouden of annuleren als je later wilt beslissen."
"accountswitch.replace_cloud","Alleen dit behouden"
"accountswitch.replace_cloud.info","Bevestig de koppeling alleen als je zeker weet dat je het cloudaccount wilt vervangen door de huidige account."
"accountswitch.replace_cloud.title","Het cloudaccount vervangen"
"accountswitch.replace_current.info","Bevestig de koppeling alleen als je zeker weet dat je het cloudaccount wilt vervangen door de huidige account."
"accountswitch.replace_current.title","Huidig account vervangen"
"accountswitch.stronghold","Vestingniveau"
"accountswitch.switch","Laden"
"accountswitch.title","Account kiezen"
"accountswitch.trophies","Trofeeën"
"accountswitch.xp","XP-niveau"
