"specials.name.a_cozy_break","Eine gemütliche Pause"
"specials.name.a_moment_of_joy","Ein Moment der Freude"
"specials.name.a_rare_cultivar","Ein seltener Züchter"
"specials.name.abiding_dogma","Festes Dogma"
"specials.name.absorbed_underlings","Absorbierte Untergebene"
"specials.name.absordium_deflectors","Absordium-Deflektoren"
"specials.name.abyssal_incantation","Abgrundbeschwörung"
"specials.name.accelerated_growth","Beschleunigtes Wachstum"
"specials.name.aces_high","Ass im Ärmel"
"specials.name.acid_bite","Ätzender Biss"
"specials.name.acoustic_surge","Akustische Brandung"
"specials.name.acute_cut","Akuter Schnitt"
"specials.name.adamantite_claw","Adamantit-Klaue"
"specials.name.adamantium_horn","Adamantium-Horn"
"specials.name.adorable_beam","Toon-Strahl"
"specials.name.adorable_bolt","Toon-Bolzen"
"specials.name.adorable_burning_strike","Toonfeuer-Angriff"
"specials.name.adorable_cold_blast","Toon-Schneesturm"
"specials.name.adorable_entangling_shot","Toontastischer Schuss"
"specials.name.adorable_four_blades","Schnitt der vier Toons"
"specials.name.adorable_gamblers_stance","Toon-Haltung"
"specials.name.adorable_hammer","Toon-Hammer"
"specials.name.adorable_have_faith","Toons Glaube"
"specials.name.adorable_heal","Toon-Heilung"
"specials.name.adorable_massive_chop","Toontastischer Hieb"
"specials.name.adorable_pest","Niedlicher Schädling"
"specials.name.adorable_piercing_strike","Toonkraft-Angriff"
"specials.name.adorable_pulverizer","Toon-Pulverisierer"
"specials.name.adorable_purification","Toonifikation"
"specials.name.adorable_ramming_rush","Toontastischer Rausch"
"specials.name.adorable_ramming_rush_isshtak","Toon-Rausch"
"specials.name.adorable_shatter","Toon-Zerschmetterer"
"specials.name.adorable_shield","Toon-Schield"
"specials.name.adorable_skin","Toonhaut"
"specials.name.adorable_sonic_wall","Toonmauer"
"specials.name.adorable_spear","Toon-Speer"
"specials.name.adorable_strike","Toonschlag"
"specials.name.adorable_swords","Mauer der Toons"
"specials.name.adorable_tactical_cut","Toontastischer Schnitt"
"specials.name.adorable_wind_prayer","Toongebet"
"specials.name.adventure_awaits","Abenteuer erwarten dich!"
"specials.name.advice_from_beyond","Rat aus dem Jenseits"
"specials.name.aerial_abduction","Entführung in der Luft"
"specials.name.aerial_capture","Luftfang"
"specials.name.aerial_ram","Luftramme"
"specials.name.aether_mimic_bite_blue","Verzehrender Biss"
"specials.name.aether_mimic_bite_green","Verzehrender Biss"
"specials.name.aether_mimic_bite_purple","Verzehrender Biss"
"specials.name.aether_mimic_bite_red","Verzehrender Biss"
