"KEY","TEXT"
"account_deletion.cancel_request.button","삭제 취소"
"account_deletion.dialog.cancel_request.message","정말로 계정 삭제 프로세스를 [#ff362e]취소[#]하시겠습니까?"
"account_deletion.dialog.cancel_request.title","삭제 취소"
"account_deletion.dialog.cancelled.message","계정 삭제 프로세스가 취소되었습니다."
"account_deletion.dialog.cancelled.title","삭제 취소됨"
"account_deletion.dialog.final_confirmation.player_name_and_id","플레이어 이름: {0}
계정 식별자: {1}"
"account_deletion.dialog.final_confirmation.region","귀하의 현재 위치: {0} 

저희는 귀하의 요청을 현지 법률에 따라 처리하겠습니다. 이 위치 정보가 잘못되었다면 아래 목록에서 올바른 위치를 선택하세요."
"account_deletion.dialog.final_confirmation.region_unknown","저희는 귀하의 요청을 현지 법률에 따라 처리하겠습니다. 귀하의 위치를 아래 목록에서 선택하세요."
"account_deletion.dialog.final_confirmation.remember_id","계정 삭제와 관련하여 저희에게 다시 문의할 경우를 대비하여 위에 명시된 계정 식별자를 확인해 주세요."
"account_deletion.dialog.final_confirmation.title","계정 삭제"
"account_deletion.dialog.give_reason.message","귀하의 계정을 삭제하시려는 이유를 말씀해 주세요."
"account_deletion.dialog.give_reason.title","삭제 이유"
"account_deletion.dialog.in_progress.message","저희는 귀하의 요청을 수신했으며 곧 처리할 예정입니다. 

게임: 엠파이어 & 퍼즐
계정 식별자: {0}

귀하께서는 이 삭제 요청을 7일 안에 취소할 수 있습니다."
"account_deletion.dialog.in_progress.title","계정 삭제 보류 중"
"account_deletion.dialog.restart_game.message","내가 건설한 제국은 나의 성장과 함께 발전합니다. 그리고 이 게임에서는 [#!]진행 상태를 초기화할 경우 그 어떠한 혜택도 제공되지 않습니다[#]. 엠파이어 & 퍼즐은 한 개의 계정으로만 플레이할 수 있도록 제작되었습니다. 게임을 하면 할 수록 유용한 영웅과 아이템을 더 많이 발견하게 될 것입니다. 

[#!]그 어떠한 ""잘못된"" 것도 게임 내에서 만들 수 없습니다[#]. 게임을 진행하다보면 결국 건설할 수 있는 모든 건물을 만들 수 있게 될 것입니다."
"account_deletion.dialog.restart_game.title","게임 재시작"
"account_deletion.dialog.start_process.message","삭제 요청을 제출하면 게임 계정과 게임 플레이가 [#!]즉시 차단됩니다[#]. 삭제 요청이 완료된 후에는 [#!]요청을 취소할 수 없습니다[#]. 

[#!]모든 게임 진행 정보가 사라지며[#], 게임 내에서 획득하거나 구입한 가상 화폐 또는 아이템도 사라집니다. 이후에 저희는 이 게임과 관련하여 환불이나 문의하셨던 지원 요청에 대하여 더 이상 도움을 드릴 수 없습니다.

계정을 삭제하는 게 아니라 현재 계정에서 결제 또는 게임플레이를 차단하고 싶으시다면 플레이어 지원팀에 문의하십시오.

이 게임 계정을 삭제하더라도 활성화된 구독이 취소되지 않습니다. [#!]구독은 구독 제공자[#](Apple, Google 등등)를 통해서만 취소할 수 있습니다.

계정을 삭제해도 새 계정을 생성하여 게임을 새로 시작할 수 있습니다."
"account_deletion.dialog.start_process.title","이 게임 계정을 삭제하기 전에 다음 내용을 확인해 주세요."
"account_deletion.reason_option.bugs_issues","너무 많은 버그/문제점"
"account_deletion.reason_option.disagree_with_policy","동의할 수 없는 약관/개인정보 보호정책"
"account_deletion.reason_option.harassment_abuse","괴롭힘/학대 우려"
"account_deletion.reason_option.no_longer_play","게임을 더 이상 플레이하지 않음"
"account_deletion.reason_option.other","기타"
"account_deletion.reason_option.restart_game","게임을 다시 시작하고자 함"
"account_deletion.reason_option.select_reason","[이유 선택]"
"account_deletion.region_dropdown.other","기타(보기에 없음)"
"account_deletion.region_dropdown.select_region","[지역 선택]"
"account_deletion.terms_checkbox","본인은 이 게임 계정을 삭제하고 싶습니다. 본인은 이 게임의 모든 게임 진행 상황과 누적된 가상 아이템을 잃게 되며, 삭제 요청이 완료되면 취소할 수 없다는 것을 이해합니다."
"accountswitch.cloud","클라우드 계정"
"accountswitch.current","현재 계정"
"accountswitch.keep","유지"
"accountswitch.message","한 쪽의 진행 데이터를 선택하거나, 일단 취소한 후 나중에 결정할 수 있습니다."
"accountswitch.replace_cloud","이 데이터만 유지"
"accountswitch.replace_cloud.info","현재 계정으로 클라우드 계정을 대체하려면 연동을 확정해 주세요."
"accountswitch.replace_cloud.title","클라우드 계정 교체"
"accountswitch.replace_current.info","클라우드 계정으로 현재 계정을 대체하려면 연동을 확정해 주세요."
"accountswitch.replace_current.title","현재 계정 교체"
"accountswitch.stronghold","요새 레벨"
"accountswitch.switch","불러오기"
"accountswitch.title","계정 선택"
"accountswitch.trophies","트로피"
"accountswitch.xp","XP 레벨"
"ads.disabled.popup.description","이 빌드에서는 광고를 이용할 수 없습니다. 보상은 수령 가능합니다."
"ads.disabled.popup.title","광고 이용 불가"
