"herocard.passive_skill.description.addmana.all.allies","يكتسب جميع الحلفاء كمية صغيرة من القوة."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","تكتسب هذه الشخصية {POWER}% من القوة، في كل مرة يتلقى فيها العدو ضرر النزيف."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","تجدد هذه الشخصية {POWER} من نقاط الصحة في كل مرة يتلقى فيها أحد الأعداء ضرر النزيف."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","تكتسب هذه الشخصية {POWER}% من القوة، في كل مرة يتلقى فيها العدو ضرر حريق."
"herocard.passive_skill.description.bypassfamiliars.minion","كل الأضرار التي تُلحقها هذه الشخصية تتجاوز الأتباع."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","كل الأضرار التي تُلحقها هذه الشخصية تتجاوز الأتباع، والأتباع الضخام."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","فرصة لزيادة مدة إلقاء تأثيرات الحالة."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} من الجولات: {1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","إذا كان لدى هذه الشخصية أي مقدار من زخم التحليق، فإنها تحصل على:
ما يصل إلى {MAXMANAGENERATIONMODIFIER}% من توليد القوة.
بنسبة تصل إلى {MAXDODGEMODIFIER}% فرصة إضافية للتفادي. 
تقل التأثيرات كلما قل زخم التحليق لدى الشخصية."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","زخم التحليق {CHARGE}%
لدى هذه الشخصية حاليًا: 
{MANAGENERATIONMODIFIER}% من توليد القوة.
{DODGEMODIFIER}% فرصة إضافية للتفادي."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","اكتسب {POWER}% من القوة في بداية كل جولة إذا كان لدى أي حليف على أرض المعركة أحد تأثيرات التلف."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","في كل {TURNS} من الجولات، يُعيد إحياء جميع الحلفاء المهزومين بنسبة {POWER}% من نقاط الصحة."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","في كل {TURNS} من الجولات، يُعيد إحياء الحلفاء المهزومين القريبين بنسبة {POWER}% من نقاط الصحة."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","عندما تبدأ هذه الشخصية جولة بصحة منخفضة لأول مرة أثناء المعركة، فإنها تستعيد {HEALTH}% من الصحة، وتحصل على {MANA}% من القوة."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","كلما تتلقّى هذه الشخصية ضررًا من مرض حالة أو من تراكم سلبي، تستعيد مقدارًا مساويًا من نقاط الصحة بدلًا من ذلك."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","كلما تتلقّى هذه الشخصية ضررًا من مرض حالة أو من تراكم سلبي، تستعيد مقدارًا مساويًا من نقاط الصحة بدلًا من ذلك. يبلغ مقدار العلاج {MULTIPLIER}% من الضرر"
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER}% فرصة حاسمة."
"herocard.passive_skill.description.damage.all.enemies","لإلحاق {DAMAGE}% من الضرر بجميع الأعداء."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","يتم إلحاق {DAMAGEPERTURN} من الضرر بجميع أتباع الأعداء وأتباعهم الضخام كل {TURNS} من الجولات."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","يتم إلحاق {DAMAGEPERTURN} من الضرر بجميع أتباع الأعداء، وأتباعهم الضخام في بداية كل جولة."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","يتم إلحاق {DAMAGEPERTURN} من الضرر بجميع أتباع الأعداء، وأتباعهم الضخام في بداية كل جولة."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","يزداد كل الضرر من الهجمات العادية والمهارات الخاصة الملحقة لهذه الشخصية بنسبة {DAMAGEINCREASEPERSTEP}% لكل {INSANITYPERSTEP} من الجنون على هذه الشخصية بما يصل إلى {MAXDAMAGEINCREASE}%."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single.troop.specialskill.npcnormalattack.add_modifier_per_stack","يزيد كل الضرر الناتج عن الهجمات العادية والمهارات الخاصة التي تلحقها هذه الشخصية بنسبة {MODIFIER}% لكل تراكم زنبق دموي على الهدف."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all.specialskill.any","إذا كان هناك أي حلفاء راقصين، فإن المهارة الخاصة لهذه الشخصية تسبب ضررًا أكبر بنسبة {MODIFIERCHANGE}%."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","تلحق قوات الشخصية هذه ضررًا إضافيًا ضد العنصر الأضعف.

ضرر إضافي ملحق: +{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","تم تقليل الضرر الناجم عن أمراض الحالات والتراكمات السلبية بنسبة {DAMAGEREDUCTION}%"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","تم تقليل الضرر الناجم عن أمراض الحالات والتراكمات السلبية بنسبة {DAMAGEREDUCTION}% لهذه الشخصية."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","مركز بناء هذه الشخصية هو مركز مدمر.

يُفعل المركز المدمر في كل مرة تلقى المهارة الخاصة لهذه الشخصية:

 عند شحن المركز المدمر بالكامل، يلحق نسبة {CHARGEDPOWER1}% من الضرر بكل الأعداء. 
 يُقاس الضرر حسب مقدار الشحن في المركز. يُستهلك كل الشحن عند تفعيل المركز."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","يتم تطهير هذه الشخصية من حالات الأمراض، عندما يتم تدمير أحد أتباعها."
"herocard.passive_skill.description.dodgespecialdamage","لدى هذه الشخصية احتمالية بنسبة {CHANCE}% لتفادي المهارات الخاصة التي تُلحق الضرر."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","عندما تلقي هذه الشخصية مهاراتها الخاصة، سيتم تدمير جميع الأشرار منها."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","كل {TURNS} من الأدوار، قم بأكل جميع الأتباع الخاصة بعدو عشوائي واكتسب قدرًا صغيرًا من القوة عن كل تابع تأكله."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","عندما تسجل هذه الشخصية ضربة حرجة باستخدام مهارتها الخاصة، تطهّر آخر حالة مرضية يمكن تطهيرها من جميع الحلفاء بأمان. يمكن تفعيل هذا التأثير مرة واحدة في كل جولة."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","عندما تسجل هذه الشخصية ضربة حرجة باستخدام مهارتها الخاصة، تزيد صحة جميع حلفائها بنسبة {HEALTHBOOST}%. يمكن تنشيط هذا التأثير مرة واحدة في كل دور."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn"," عندما تصيب المهارة الخاصة لهذه الشخصية شخصية كانت تمتلك نقاط صحة حالية أعلى، يتم اكتساب {PASSIVESKILL1HEALTHBOOST}% من الصحة المعززة. 
 عندما تتم إصابة هذه الشخصية بالمهارة الخاصة لشخصية كانت تمتلك نقاط صحة حالية أعلى، يتم اكتساب {PASSIVESKILL2POWER}% من القوة.
يمكن تفعيل كل تأثير من التأثيرات مرة واحدة في كل جولة."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","عندما تتلقى هذه الشخصية ضرر المهارات الخاصة، تحصل على {POWER}% من القوة."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","عندما تتلقى هذه الشخصية ضررًا مباشرًا من المهارات الخاصة أو الهجمات العادية، تحصل على كمية قليلة من القوة.  
الحد الأقصى من {MAXMANAGAINPERTURN}% القوة المكتسبة لكل دور."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","عندما تتلقى هذه الشخصية الضرر من المهارات الخاصة أو بدلًا من شخصية محمية، فهناك فرصة {CHANCE}% لإلحاق {POWER}% من الضرر الذي تلقته بجميع الأعداء."
