"herocard.passive_skill.description.addmana.all.allies","Все союзники получают небольшое количество маны."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Персонаж получает {POWER} % маны, когда враг получает урон от кровотечения."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Персонаж восстанавливает {POWER} ОЗ, когда враг получает урон от кровотечения."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Персонаж набирает {POWER} % маны, когда враг получает урон от ожога."
"herocard.passive_skill.description.bypassfamiliars.minion","Весь урон, нанесенный этим героем, обходит прислужников."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Весь урон, нанесенный этим героем, обходит прислужников и мегаприслужников."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Вероятность увеличить длительность используемых эффектов статуса."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} х.: {1} %"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Если у этого персонажа есть заряд ""Динамики полета"", он получает следующие усиления:
Генерация маны увеличивается вплоть до {MAXMANAGENERATIONMODIFIER} %.
Дополнительный шанс уклонения увеличивается вплоть до {MAXDODGEMODIFIER} %. 
Эффекты уменьшаются вместе с уменьшением заряда ""Динамики полета""."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","""Динамика полета"" {CHARGE} %
В настоящее время у этого персонажа:
{MANAGENERATIONMODIFIER} % к восстановлению маны.
{DODGEMODIFIER} % к шансу уклониться."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Получает {POWER} % маны в начале каждого хода, если у любого союзника на поле есть активный эффект увядания."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Каждые {TURNS} х. оживляет всех павших союзников, давая {POWER} % ОЗ."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Каждые {TURNS} х. оживляет павших союзников поблизости, давая {POWER} % ОЗ."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Когда этот герой начинает ход с низким здоровьем впервые за битву, он восстанавливает {HEALTH} % здоровья и получает {MANA} % маны."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Всякий раз, когда этот герой должен получить урон от недуга или негативного накапливаемого эффекта статуса, вместо этого он восстанавливает ему такое же количество здоровья."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Всякий раз, когда этот герой должен получить урон от недуга или негативного накапливаемого эффекта статуса, вместо этого он восстанавливает здоровье. Количество восстановленного здоровья равно {MULTIPLIER} % от урона."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER} % вероятность критического удара."
"herocard.passive_skill.description.damage.all.enemies","Наносит {DAMAGE} % урона всем врагам."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Наносит {DAMAGEPERTURN} урона всем вражеским прислужникам и мегаприслужникам каждые {TURNS} х."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Наносит {DAMAGEPERTURN} урона всем вражеским прислужникам и мегаприслужникам в начале каждого хода."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Наносит {DAMAGEPERTURN} урона всем вражеским прислужникам и мегаприслужникам в начале каждого хода."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Весь урон от обычных атак и особых навыков, нанесенный этим героем, увеличивается на {DAMAGEINCREASEPERSTEP} % за {INSANITYPERSTEP} безумия на герое, вплоть до {MAXDAMAGEINCREASE} %."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single.troop.specialskill.npcnormalattack.add_modifier_per_stack","Весь урон от обычных атак и особых навыков, нанесенный этим героем, увеличивается на {MODIFIER} % за каждую кровавую лилию, наложенную на цель."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all.specialskill.any","Если какие-либо союзники танцуют, особый навык этого персонажа наносит на {MODIFIERCHANGE} % больше урона."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Отряд наносит дополнительный урон против более слабой стихии.

Дополнительный урон стихией: +{MODIFIER} %"
"herocard.passive_skill.description.debuffdamagereduction","Урон от негативных эффектов или негативного накапливаемого эффекта статуса снижается на {DAMAGEREDUCTION} %"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Урон от недугов и негативных накапливаемых эффектов статуса снижается на {DAMAGEREDUCTION} % для этого героя."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Структурное ядро этого героя — деструктивное.

Деструктивное ядро активируется каждый раз, когда герой использует особый навык:

 При полностью заряженном деструктивном ядре наносит {CHARGEDPOWER1} % урона всем врагам. 
 Урон зависит от заряда ядра. Весь заряд истощается при активации ядра."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Недуги персонажа исчезают, если уничтожен его прислужник."
"herocard.passive_skill.description.dodgespecialdamage","Герой с вероятностью {CHANCE} % сможет уклониться от особых навыков, наносящих урон."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Когда этот герой использует особый навык, от него разрушаются все паразиты."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Раз в {TURNS} х. пожирает всех прислужников случайного врага и дает небольшое количество маны за каждого съеденного прислужника."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Когда этот герой наносит критический удар своим особым навыком, он безопасно очищает последний очищаемый недуг со всех союзников. Этот эффект можно активировать один раз за ход."
