"herocard.passive_skill.description.addmana.all.allies","Tüm müttefikler küçük bir miktar mana kazanırlar."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Bir düşman her Kanama hasarı aldığında bu karakter %{POWER} mana alır.,"
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Bir düşman her Kanama hasarı aldığında bu karakter {POWER} SP yeniler."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Bir düşman her Yakma hasarı aldığında bu karakter %{POWER} mana kazanır."
"herocard.passive_skill.description.bypassfamiliars.minion","Bu karakterin verdiği tüm hasar, Hizmetkarları atlatır."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Bu karakterin verdiği tüm hasar, Hizmetkarları ve Mega Hizmetkarları atlatır."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Uygulanan durum efektlerinin süresini artırmak için şans."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} tur: %{1}"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Bu karakterin herhangi bir miktarda Uçuş İvmesi varsa şunu alır:
%{MAXMANAGENERATIONMODIFIER} oranına varan mana üretimi.
Savuşturmak için %{MAXDODGEMODIFIER} oranına varan ekstra şans. 
Efektler, karakterin ne kadar az Uçuş İvmesi varsa o kadar azalır."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Uçuş İvmesi %{CHARGE}
Bu karakter şu anda şunlara sahip:
%{MANAGENERATIONMODIFIER} mana üretimi.
Savuşturmak için %{DODGEMODIFIER} ekstra şans."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Savaş alanındaki herhangi bir müttefik aktif bir Soldurma efektine sahipse her turun başında %{POWER} mana kazan."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Her {TURNS} turda bir, tüm yenilen müttefikleri %{POWER} SP ile diriltir."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Her {TURNS} turda bir, yakındaki yenilen müttefikleri %{POWER} SP ile diriltir."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Bu karakter, bir savaşta ilk defa bir tura düşük sağlıkla başladığında %{HEALTH} sağlık yeniler ve %{MANA} mana alır."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Bu karakter, bir durum engelinden hasar aldığında hasar almak yerine o kadar sağlık yeniler."
