"KEY","TEXT"
"account_deletion.cancel_request.button","إلغاء الحذف"
"account_deletion.dialog.cancel_request.message","هل أنت متأكد أنك تريد [#ff362e]إلغاء[#] عملية حذف الحساب؟"
"account_deletion.dialog.cancel_request.title","إلغاء الحذف"
"account_deletion.dialog.cancelled.message","تم إلغاء عملية حذف الحساب."
"account_deletion.dialog.cancelled.title","تم إلغاء الحذف"
"account_deletion.dialog.final_confirmation.player_name_and_id","اسم اللاعب: {0}
معرِّف الحساب: {1}"
"account_deletion.dialog.final_confirmation.region","أنت موجود حاليًا في: {0} 

سنعالج طلبك وفقًا للقوانين المحلية. إذا كان هذا الموقع غير صحيح، فيرجى اختيار الموقع الصحيح من القائمة أدناه:"
"account_deletion.dialog.final_confirmation.region_unknown","سنعالج طلبك وفقًا للقوانين المحلية. يرجى اختيار موقعك من القائمة أدناه:"
"account_deletion.dialog.final_confirmation.remember_id","يرجى تدوين معرِّف الحساب الظاهر أعلاه للرجوع إليه في حالة الحاجة للتواصل معنا بشأن حذف الحساب."
"account_deletion.dialog.final_confirmation.title","حذف الحساب"
"account_deletion.dialog.give_reason.message","يرجى شرح سبب رغبتك في حذف حسابك."
"account_deletion.dialog.give_reason.title","سبب الحذف"
"account_deletion.dialog.in_progress.message","لقد تلقينا طلبك، وسنعالجه قريبًا. 

اسم اللعبة: Empires & Puzzles‏
معرِّف الحساب: {0}

ستكون قادرًا على إلغاء طلب الحذف هذا لمدة تصل إلى 7 أيام."
"account_deletion.dialog.in_progress.title","في انتظار حذف الحساب"
"account_deletion.dialog.restart_game.message","الإمبراطورية التي تعمل على بنائها مُصممة للنمو معك، وتم تنفيذ اللعبة بحيث [#!]لا توجد فائدة حقيقية في إعادة ضبط التقدم الذي أحرزته[#]. صُممت لعبة Empires & Puzzles ليتم لعبها باستخدام حساب واحد فقط. ستجد المزيد من الأبطال والعناصر المفيدة مع تقدمك في اللعبة. 

[#!]يرجى العلم بأنه لا يمكن بناء أي شيء بطريقة ""خاطئة"" في اللعبة[#]. ستحصل على جميع المباني الممكنة كلما تقدمت في اللعبة."
"account_deletion.dialog.restart_game.title","إعادة تشغيل اللعبة"
"account_deletion.dialog.start_process.message","بمجرد تقديم طلب الحذف، سيتم وقف حسابك اللعبة، وتجربة اللعب [#!]فورًا[#]. وبمجرد استكمال طلب الحذف، [#!]لا يمكننا التراجع عنه[#]. 

[#!]كذلك، ستفقد كل التقدم الذي أحرزته في اللعبة[#]، ولا سيما أي عملة افتراضية، أو عناصر قد حصلت عليها أو اشتريتها. ولن نكون قادرين على مساعدتك بعد ذلك في استرداد الأموال، أو أي طلبات دعم معلقة أخرى لهذه اللعبة.

إذا كنت ترغب في وقف المدفوعات على حسابك الحالي، أو وقف اللعب على حسابك بدلاً من حذفه، فيرجى التواصل مع فريق دعم اللاعبين.

يرجى ملاحظة أن حذف حساب هذه اللعبة لا يلغي الاشتراكات الجارية. [#!]فلا بد من إلغاء الاشتراكات عبر موفر خدمة الاشتراك[#] (Apple، وGoogle، وغير ذلك).

ولا يمنعك حذف حسابك من إنشاء حساب جديد والبدء من جديد في اللعبة."
"account_deletion.dialog.start_process.title","قبل حذف حساب هذه اللعبة، يُرجى الاطلاع على النقاط التالية"
"account_deletion.reason_option.bugs_issues","وجود الكثير من الأخطاء أو المشكلات"
"account_deletion.reason_option.disagree_with_policy","عدم الموافقة على الشروط أو سياسة الخصوصية"
"account_deletion.reason_option.harassment_abuse","مخاوف بشأن التحرش أو سوء المعاملة"
"account_deletion.reason_option.no_longer_play","لم أعد ألعب اللعبة"
"account_deletion.reason_option.other","أخرى"
"account_deletion.reason_option.restart_game","أريد إعادة تشغيل اللعبة"
"account_deletion.reason_option.select_reason","[تحديد السبب]"
"account_deletion.region_dropdown.other","سبب آخر (غير مُدرج)"
"account_deletion.region_dropdown.select_region","[تحديد المنطقة]"
"account_deletion.terms_checkbox","أرغب في حذف حسابي في هذه اللعبة؛ وأدرك تمامًا أنني سأفقد كل التقدم الذي أحرزته والعناصر الافتراضية التي اكتسبتها، وأنه بمجرد إتمام طلب الحذف، لا يمكن التراجع عنه."
"accountswitch.cloud","السحابة"
"accountswitch.current","حاليّ"
"accountswitch.keep","احتفاظ"
"accountswitch.message","يمكنك أن تختار الحفاظ على أحد التقدمين، أو الإلغاء إذا أردت أن تقرر لاحقًا."
"accountswitch.replace_cloud","احتفاظ بهذه فقط"
"accountswitch.replace_cloud.info","إذا كنت متأكدًا من أنك تريد أن تستبدل حساب السحابة بالحساب الحالي، فأكِّد الارتباط."
"accountswitch.replace_cloud.title","استبدال حساب السحابة"
"accountswitch.replace_current.info","إذا كنت متأكدًا أنك تود أن تستبدل الحساب الحالي بحساب السحابة، فأكِّد الارتباط."
"accountswitch.replace_current.title","استبدال الحساب الحالي"
"accountswitch.stronghold","مستوى الحصن"
"accountswitch.switch","تحميل"
"accountswitch.title","اختر الحساب"
"accountswitch.trophies","الجوائز"
"accountswitch.xp","مستوى الخبرة"
"ads.disabled.popup.description","الإعلانات غير متوفرة في هذا الإصدار. لكن ذلك لا يتعارض مع تلقيك للمكافآت."
"ads.disabled.popup.title","لا توجد إعلانات"
"advanced_buildings.title#1","تمَّ فتح مبنى متقدم جديد"
"advanced_buildings.title#2","تم فتح مبنيين إضافيين جديدين"
"advanced_buildings.title#3","تمَّ فتح مبانٍ متقدمة جديدة"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","في بداية كل معركة، يتلقى هذا البطل{ATTACK}% من الهجوم لمدة {TURNS} من الجولات."
"aetherpower.statuseffect.minor.aetherpowerberserk.single.allies","في بداية كل معركة، يتلقى هذا البطل {ATTACK}% من الهجوم، وزيادة {CHANGE}% أخرى كل مرة jتم إصابته خلال {TURNS} من الجولات، بحد أقصى {MAXMODIFIER}% من الهجوم.

في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies","في بداية كل معركة، يتلقى هذا البطل {DEFENSE}% من الدفاع، وزيادة {CHANGE}% أخرى كل مرة يتم إصابته خلال {TURNS} من الجولات، بحد أقصى {MAXMODIFIER}% من الدفاع.

في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies","في بداية كل معركة، يتلقى هذا البطل تخفيضًا بنسبة {MULTIPLIER}% للضرر اللاحق به من أمراض الحالات والتكدسات السلبية خلال {TURNS} من الجولات.

في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies","في بداية كل معركة، يتلقى هذا البطل {DEFENSE}% من الدفاع خلال {TURNS}  من الجولات."
"aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff","في بداية كل معركة، يتم تنظيف جميع حالات المرض لهذا البطل في نهاية كل جولة خلال {TURNS} من الجولات."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies","في بداية كل معركة، يجدد هذا البطل {TOTAL} من الصحة المعززة خلال {TURNS} من الجولات. يمكن أن تتجاوز الصحة المعززة الحد الأقصى من نقاط الصحة."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies","في بداية كل معركة، يجدد هذا البطل {TOTAL} من الصحة خلال {TURNS} من الجولات."
"aetherpower.statuseffect.minor.aetherpowerfixedmanarecovery.small.single.allies","في بداية كل معركة، يتلقى هذا البطل قدرًا صغيرًا من القوة خلال {TURNS} من الجولات."
"aetherpower.statuseffect.minor.aetherpowergamble.single.allies","في بداية كل معركة، يتلقى هذا البطل {ATTACK}% من الهجوم مع {ACCURACY}% من الدقة لمدة {TURNS} من الجولات."
"aetherpower.statuseffect.minor.aetherpowerhealmultiplier.single.allies","في بداية كل معركة، يحصل هذا البطل على زيادة بنسبة%{HEALING} لأي شفاء يحصل عليه خلال {TURNS} من الجولات."
"aetherpower.statuseffect.minor.aetherpowerlifesteal.single.allies","في بداية كل معركة، يعالج هذا البطل {LIFESTEAL}% من الضرر العادي الملحق طوال {TURNS} من الجولات.

في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"aetherpower.statuseffect.minor.aetherpowermanagenerationmodifier.single.allies","في بداية كل معركة، يحصل هذا البطل على توليد قوة {MANAREGEN}% طوال {TURNS} من الجولات.

في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"aetherpower.statuseffect.minor.aetherpowermummyreincarnation.single.allies","إذا هُزم هذا البطل خلال أول 5 جولات من المعركة؛ فإنه يُعاد إحياؤه كمومياء بنسبة {ATTACK}% من الهجوم، ونسبة {DEFENSE}% من الدفاع.

في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"aetherpower.statuseffect.minor.aetherpowerreceiveddamagemodifier.single.allies.decrease","في بداية كل معركة، جميع الضرر الذي يتلقاه هذا البطل يتم تخفيضه بنسبة [#!]{DAMAGEREDUCTION}%[#] طوال {TURNS} من الجولات.

في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"aetherpower.statuseffect.minor.aetherpowerreflectminordebuffstorandomenemy.single.allies","في بداية كل معركة، يعكس هذا البطل حالات المرض القابلة للتطهير التي قد يتلقاها إلى شخصية عشوائية من الفريق المقابل طوال {TURNS} من الجولات.

في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
"aetherpower.statuseffect.minor.aetherpowerspecialdamagepowermodifier.single.allies","في بداية كل معركة، تلحق المهارة الخاصة لهذا البطل ضررًا إضافيًّا بنسبة {POWER}% طوال {TURNS} من الجولات.

في المعارك ذات الموجات المتعددة، يتم تحديث التأثير في بداية كل موجة."
