"specials.name.a_cozy_break","아늑한 휴식"
"specials.name.a_moment_of_joy","기쁨의 순간"
"specials.name.a_rare_cultivar","희귀 품종"
"specials.name.abiding_dogma","도그마 준수"
"specials.name.absorbed_underlings","흡수한 부하"
"specials.name.absordium_deflectors","앱소르듐 반사기"
"specials.name.abyssal_incantation","심연의 주문"
"specials.name.accelerated_growth","가속화된 성장"
"specials.name.aces_high","에이스 하이"
"specials.name.acid_bite","부식성 물어뜯기"
"specials.name.acoustic_surge","어쿠스틱 급증"
"specials.name.acute_cut","극심한 자상"
"specials.name.adamantite_claw","아다만타이트 발톱"
"specials.name.adamantium_horn","아다만티움 뿔"
"specials.name.adorable_beam","툰 빔"
"specials.name.adorable_bolt","툰 볼트"
"specials.name.adorable_burning_strike","툰파이어 스트라이크"
"specials.name.adorable_cold_blast","툰 눈보라"
"specials.name.adorable_entangling_shot","툰타스틱 샷"
"specials.name.adorable_four_blades","네 가지 툰의 슬래시"
"specials.name.adorable_gamblers_stance","툰 스탠스"
"specials.name.adorable_hammer","툰 해머"
"specials.name.adorable_have_faith","툰의 신념"
"specials.name.adorable_heal","툰 치유"
"specials.name.adorable_massive_chop","툰타스틱 춉"
"specials.name.adorable_pest","매혹적인 유해 동물"
"specials.name.adorable_piercing_strike","툰파워 스트라이크"
"specials.name.adorable_pulverizer","툰 분쇄기"
"specials.name.adorable_purification","투니피캐이션"
"specials.name.adorable_ramming_rush","툰타스틱 러시"
"specials.name.adorable_ramming_rush_isshtak","툰 러시"
"specials.name.adorable_shatter","툰 분쇄"
"specials.name.adorable_shield","툰 방패"
"specials.name.adorable_skin","툰 스킨"
"specials.name.adorable_sonic_wall","툰 벽"
"specials.name.adorable_spear","툰 스피어"
"specials.name.adorable_strike","툰 일격"
"specials.name.adorable_swords","툰 장벽"
"specials.name.adorable_tactical_cut","툰타스틱 컷"
"specials.name.adorable_wind_prayer","툰 기도"
"specials.name.adventure_awaits","모험이 기다립니다!"
"specials.name.advice_from_beyond","저 너머의 조언"
"specials.name.aerial_abduction","공중 납치"
"specials.name.aerial_capture","하늘 포획"
"specials.name.aerial_ram","에어리얼 램"
"specials.name.aether_mimic_bite_blue","탐식의 송곳니"
"specials.name.aether_mimic_bite_green","탐식의 송곳니"
"specials.name.aether_mimic_bite_purple","탐식의 송곳니"
"specials.name.aether_mimic_bite_red","탐식의 송곳니"
"specials.name.aether_mimic_bite_yellow","탐식의 송곳니"
"specials.name.age_old_antlers","늙은 수사슴"
"specials.name.aggravating_gaze","괴로움의 눈빛"
"specials.name.alchemy_experiment","연금술 실험"
"specials.name.alpha_roar","알파 포효"
"specials.name.amazing_deals","놀라운 특가"
"specials.name.amazing_deals_clearance_sale","재고 정리 세일"
"specials.name.amazing_deals_dull_swords","무딘 검"
"specials.name.amazing_deals_questionable_snake_oil","수상한 뱀 기름"
"specials.name.amphibian_sword_sting","양서류 검의 찌르기"
"specials.name.amphibious_assault","상륙강습"
"specials.name.ancient_dragon_sword","고대 드래곤 검"
"specials.name.ancient_enchantment","고대의 마법"
"specials.name.ancient_flames","고대의 화염"
"specials.name.ancient_martial_arts","고대 무술"
"specials.name.ancient_mirror","고대의 거울"
"specials.name.ancient_ritual","고대 의식"
"specials.name.ancient_spell","고대의 주문"
"specials.name.ancient_technology","고대 과학기술"
"specials.name.ancient_vengeance","고대의 복수"
"specials.name.anger_of_forest","숲의 분노"
"specials.name.anger_of_the_jester","광대의 분노"
"specials.name.anger_of_the_woods","숲의 분노"
"specials.name.anger_of_the_woods_pve","숲의 분노"
"specials.name.angry_boar","성난 멧돼지"
"specials.name.angry_boar_pve","성난 멧돼지"
"specials.name.anthem_of_the_lake","호수의 노래"
"specials.name.aphotic_maw","암흑 수렁"
"specials.name.aphotic_whisper","어둠의 속삭임"
"specials.name.apothecary_kit","약제상 키트"
"specials.name.aquatic_dance","수중 댄스"
"specials.name.aquatic_outbreak","물의 폭주"
"specials.name.arcane_blast","비전 돌풍"
"specials.name.arcane_shock","비전 충격"
"specials.name.archaic_dread","고대의 공포"
"specials.name.archaic_sacred_symbol","태고의 성스러운 상징"
"specials.name.arctic_breeze","북극 바람"
"specials.name.arctic_guard","북극 파수병"
"specials.name.arctic_veil","북극 베일"
"specials.name.arctic_wound","북극의 상처"
"specials.name.arrow_of_desire","욕망의 화살"
"specials.name.arrow_of_nujalik","누자리크의 화살"
"specials.name.arrows_and_claws","화살과 발톱"
"specials.name.arrows_of_altruism_liora","이타심의 화살"
"specials.name.arrows_of_frost","서리 화살"
"specials.name.arrows_of_fury","분노의 화살"
"specials.name.artful_backstab","교묘한 기습공격"
"specials.name.artful_recreation","명작 복원"
"specials.name.artisans_shot","장인의 일격"
"specials.name.ashes_to_ashes","재로 되돌리기"
