"KEY","TEXT"
"account_deletion.cancel_request.button","Peru poistaminen"
"account_deletion.dialog.cancel_request.message","Haluatko varmasti [#ff362e]perua[#] tilin poistamisen?"
"account_deletion.dialog.cancel_request.title","Peru poistaminen"
"account_deletion.dialog.cancelled.message","Tilin poistaminen on peruttu."
"account_deletion.dialog.cancelled.title","Poistaminen peruttu"
"account_deletion.dialog.final_confirmation.player_name_and_id","Pelaajanimi: {0}
Tilitunnus: {1}"
"account_deletion.dialog.final_confirmation.region","Nykyinen sijaintisi on: {0} 

Käsittelemme pyyntösi paikallisten lakien mukaan. Jos sijainti on väärä, valitse oikea sijainti alla olevasta luettelosta:"
"account_deletion.dialog.final_confirmation.region_unknown","Käsittelemme pyyntösi paikallisten lakien mukaan. Valitse sijaintisi alla olevasta luettelosta:"
"account_deletion.dialog.final_confirmation.remember_id","Merkitse yllä oleva tilitunnus muistiin siltä varalta, että joudut joskus ottamaan meihin yhteyttä tilin poistamiseen liittyvissä asioissa."
"account_deletion.dialog.final_confirmation.title","Tilin poistaminen"
"account_deletion.dialog.give_reason.message","Kerro meille miksi haluat poistaa tilisi."
"account_deletion.dialog.give_reason.title","Poistamisen syy"
"account_deletion.dialog.in_progress.message","Olemme saaneet pyyntösi ja käsittelemme sen pikapuoliin. 

Peli: Empires & Puzzles
Tilitunnus: {0}

Tämä poistaminen on peruttavissa 7 päivän ajan."
"account_deletion.dialog.in_progress.title","Tilin poistaminen vireillä"
"account_deletion.dialog.restart_game.message","Rakentamasi valtakunnan on tarkoitus kasvaa sinun mukanasi ja peli on toteutettu siten, että [#!]edistymisen nollaamisesta ei ole mitään todellista hyötyä[#]. Empires & Puzzles on suunniteltu pelattavaksi vain yhdellä tilillä. Löydät hyödyllisempiä sankareita ja esineitä, kun pelaat peliä pidemmälle. 

[#!]Huomaa, että pelissä ei voi rakentaa mitään ""väärin""[#]. Saat käyttöösi kaikki mahdolliset rakennukset pelin edetessä."
"account_deletion.dialog.restart_game.title","Aloita peli alusta"
"account_deletion.dialog.start_process.message","Kun lähetät poistopyyntösi, pelitilisi ja pelaamisesi [#!]jäädytetään välittömästi[#]. Kun poistopyyntösi on käsitelty loppuun, [#!]emme voi perua sitä[#]. 

[#!]Menetät kaiken edistymisesi pelissä[#], mukaan lukien mahdolliset virtuaalivaluutat sekä ansaitsemasi tai ostamasi esineet. Emme voi enää auttaa sinua hyvitysten tai muiden tähän peliin liittyvien odottavien tukipyyntöjen kanssa.

Jos haluat estää maksut nykyiseltä tililtäsi tai keskeyttää pelaamisen tilillä, voit tilin poistamisen sijaan ottaa yhteyttä pelaajatukeen.

Huomaa, että tämän pelitilin poistaminen ei peruuta voimassa olevia tilauksia. [#!]Tilaukset on peruttava tilauksen tarjoajan kautta[#] (Apple, Google, jne.).

Tilin poistaminen ei estä sinua luomasta uutta tiliä ja aloittamasta peliä alusta."
"account_deletion.dialog.start_process.title","Huomioi seuraavat asiat ennen tämän pelitilin poistamista"
"account_deletion.reason_option.bugs_issues","Liian paljon bugeja/ongelmia"
"account_deletion.reason_option.disagree_with_policy","En hyväksy ehtoja/tietosuojakäytäntöä"
"account_deletion.reason_option.harassment_abuse","Ahdistelua/väärinkäytöksiä"
"account_deletion.reason_option.no_longer_play","En pelaa peliä enää"
"account_deletion.reason_option.other","Muu"
"account_deletion.reason_option.restart_game","Haluan aloittaa pelin alusta"
"account_deletion.reason_option.select_reason","[Valitse syy]"
"account_deletion.region_dropdown.other","Muu (ei mainittu)"
"account_deletion.region_dropdown.select_region","[Valitse alue]"
"account_deletion.terms_checkbox","Haluan poistaa tämän pelitilin. Ymmärrän, että menetän kaiken edistymiseni pelissä sekä kaikki keräämäni virtuaaliesineet ja ettei poistamista voi enää perua, kun pyyntöni on käsitelty."
"accountswitch.cloud","Pilvi"
"accountswitch.current","Nykyinen"
"accountswitch.keep","Pidä"
"accountswitch.message","Voit joko pitää toisen edistymisistä tai peruuttaa valinnan, jos haluat tehdä päätöksen myöhemmin."
"accountswitch.replace_cloud","Pidä vain tämä"
"accountswitch.replace_cloud.info","Jos olet varma, että haluat korvata pilvitilin nykyisellä tilillä, vahvista liitos."
"accountswitch.replace_cloud.title","Korvaa pilvitili"
"accountswitch.replace_current.info","Jos olet varma, että haluat korvata nykyisen tilin pilvitilillä, vahvista liitos."
"accountswitch.replace_current.title","Korvaa nykyinen tili"
"accountswitch.stronghold","Linnakkeen taso"
"accountswitch.switch","Lataa"
"accountswitch.title","Valitse tili"
"accountswitch.trophies","Pokaalit"
"accountswitch.xp","XP-taso"
"ads.disabled.popup.description","Tässä versiossa ei ole mainoksia. Saat silti palkkioita."
"ads.disabled.popup.title","Ei mainoksia"
"advanced_buildings.title#1","Uusi edistynyt rakennus avattu"
"advanced_buildings.title#2","Uusia edistyneitä rakennuksia avattu"
"advanced_buildings.title#3","Uusia edistyneitä rakennuksia avattu"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","Tämä sankari saa jokaisen taistelun alussa {ATTACK} % hyökkäystä {TURNS} vuoron ajaksi.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerberserk.single.allies","Tämä sankari saa jokaisen taistelun alussa {ATTACK} % hyökkäystä ja {CHANGE} % lisää aina kun häneen osutaan {TURNS} vuoron aikana, yhteensä enintään {MAXMODIFIER} % hyökkäystä.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies","Tämä sankari saa jokaisen taistelun alussa {DEFENSE} % puolustusta ja {CHANGE} % lisää aina kun häneen osutaan {TURNS} vuoron aikana, yhteensä enintään {MAXMODIFIER} % puolustusta.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies","Tämä sankari saa jokaisen taistelun alussa {MULTIPLIER} % vähennyksen vaivoista ja negatiivisista kasaumista tulevaan vaurioon {TURNS} vuoron ajaksi.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies","Tämä sankari saa jokaisen taistelun alussa {DEFENSE} % puolustusta {TURNS} vuoron ajaksi.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff","Tämän sankarin vaivat puhdistuvat jokaisen taistelun alusta alkaen jokaisen vuoron lopussa {TURNS} vuoron ajan.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies","Tämä sankari saa jokaisen taistelun alusta alkaen {TOTAL} tehostettua terveyttä {TURNS} vuoron ajan. Tehostettu terveys voi ylittää maksimiterveyden.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies","Tämä sankari saa jokaisen taistelun alusta alkaen {TOTAL} terveyttä {TURNS} vuoron ajan.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerfixedmanarecovery.small.single.allies","Tämä sankari saa jokaisen taistelun alussa pienen määrän manaa {TURNS} vuoron aikana.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowergamble.single.allies","Tämä sankari saa jokaisen taistelun alussa {ATTACK} % hyökkäystä ja {ACCURACY} % tarkkuutta {TURNS} vuoron ajaksi.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerhealmultiplier.single.allies","Tämä sankari saa jokaisen taistelun alusta alkaen {HEALING} % lisäystä kaikkeen saatuun parannukseen {TURNS} vuoron ajan.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerlifesteal.single.allies","Tämä sankari parantaa jokaisen taistelun alusta alkaen {LIFESTEAL} % tehdystä normaalivauriosta {TURNS} vuoron ajan.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowermanagenerationmodifier.single.allies","Tämä sankari saa jokaisen taistelun alussa {MANAREGEN} % manatuotantoa {TURNS} vuoron ajaksi.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowermummyreincarnation.single.allies","Jos tämä sankari kukistuu 5 ensimmäisen taisteluvuoron aikana, hän elpyy muumiona, jolla on {ATTACK} % hyökkäystä ja {DEFENSE} % puolustusta.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerreceiveddamagemodifier.single.allies.decrease","Tämä sankari saa jokaisen taistelun alusta alkaen [#!]{DAMAGEREDUCTION} %[#] vähemmän vauriota {TURNS} vuoron ajan.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerreflectminordebuffstorandomenemy.single.allies","Tämä sankari heijastaa jokaisen taistelun alusta alkaen kaikki vaivat, jotka olisi saanut, vastapuolen satunnaiselle hahmolle {TURNS} vuoron ajan.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerspecialdamagepowermodifier.single.allies","Tämän sankarin erikoistaito tekee jokaisen taistelun alussa {POWER} % lisävauriota {TURNS} vuoron ajan.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.aetherpowerspecialskilldefensemodifier.single.allies","Tämä sankari saa jokaisen taistelun alussa {SPECIALSKILLDEFENSE} % puolustusta erikoistaitoja vastaan {TURNS} vuoron ajaksi.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.block.single.allies","Tällä sankarilla on jokaisen taistelun alusta alkaen {TURNS} vuoron ajan {BLOCKCHANCE} %:n mahdollisuus, että hänen saamansa vaurio laskee 1:een.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.counterattack.single.allies","Tämä sankari tekee jokaisen taistelun alusta alkaen vastahyökkäyksiä tehden {DEFLECTION} % kärsimästään vauriosta {TURNS} vuoron ajan.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
"aetherpower.statuseffect.minor.debuffshield.single.allies","Tämä sankari on jokaisen taistelun alusta alkaen immuuni uusille vaivoille {TURNS} vuoron ajan.

Useamman aallon taisteluissa vaikutus uudistuu jokaisen aallon alussa."
