"KEY","TEXT"
"account_deletion.cancel_request.button","Löschen abbrechen"
"account_deletion.dialog.cancel_request.message","Bist du sicher, dass du die Kontolöschung [#ff362e]abbrechen[#] möchtest?"
"account_deletion.dialog.cancel_request.title","Löschen abbrechen"
"account_deletion.dialog.cancelled.message","Die Kontolöschung wurde abgebrochen."
"account_deletion.dialog.cancelled.title","Löschen abgebrochen."
"account_deletion.dialog.final_confirmation.player_name_and_id","Spielername: {0}
Kontoidentifikator: {1}"
"account_deletion.dialog.final_confirmation.region","Dein derzeitiger Standort ist {0}. 

Wir bearbeiten deine Anfrage der lokalen Gesetzgebung entsprechend. Falls dieser Standort inkorrekt ist, wähle bitte aus der folgenden Liste den richtigen aus:"
"account_deletion.dialog.final_confirmation.region_unknown","Wir bearbeiten deine Anfrage der lokalen Gesetzgebung entsprechend. Bitte wähle deinen Standort aus der folgenden Liste aus:"
"account_deletion.dialog.final_confirmation.remember_id","Bitte notiere dir den oben angezeigten Kontoidentifikator für den Fall, dass du uns noch einmal wegen der Kontolöschung kontaktieren musst."
"account_deletion.dialog.final_confirmation.title","Kontolöschung"
"account_deletion.dialog.give_reason.message","Bitte sag uns, warum du dein Konto löschen willst."
"account_deletion.dialog.give_reason.title","Grund für die Löschung"
"account_deletion.dialog.in_progress.message","Wir haben deine Anfrage erhalten und bearbeiten diese in Kürze. 

Spiel: Empires & Puzzles
Kontoidentifikator: {0}

Du kannst diese Löschungsanfrage noch innerhalb von 7 Tagen widerrufen."
"account_deletion.dialog.in_progress.title","Kontolöschung beantragt"
"account_deletion.dialog.restart_game.message","Das Imperium, das du aufbaust, soll mit dir wachsen, und das Spiel ist so gestaltet, dass [#!]es dir keinen wirklichen Nutzen bringt, deinen Fortschritt zurückzusetzen[#]. Empires & Puzzles ist dazu gedacht, nur mit einem Konto gespielt zu werden. Du findest nützlichere Helden und Gegenstände später im Spiel. 

[#!]Denk dran, dass du im Spiel nichts „Falsches“ bauen kannst[#]. Im Laufe des Spiels wirst du alle verfügbaren Gebäude erhalten."
"account_deletion.dialog.restart_game.title","Spiel zurücksetzen"
