"heroes.name.astral_cosmicspeaker","المتحدث الكوني"
"heroes.name.astral_demilune","ديملوين"
"heroes.name.astral_demon_agharoth","أغاروث"
"heroes.name.astral_demon_anatemah","أناتيماه"
"heroes.name.astral_demon_ibelis","إبليس"
"heroes.name.astral_demon_mael","مايل"
"heroes.name.astral_demon_paimon","بايمون"
"heroes.name.astral_demon_salome","سالومي"
"heroes.name.astral_demon_turundh","توروند"
"heroes.name.astral_demon_xshahr","شاهر"
"heroes.name.astral_dreadstar","دريدستار"
"heroes.name.astral_dwarf_ceris","سيريس"
"heroes.name.astral_dwarf_chires","كايرس"
"heroes.name.astral_dwarf_errin","إرين"
"heroes.name.astral_dwarf_gongoth","غونغوث"
"heroes.name.astral_dwarf_haumri","هاومري"
"heroes.name.astral_dwarf_hygil","هيغل"
"heroes.name.astral_dwarf_ixinn","إكسين"
"heroes.name.astral_dwarf_lemniss","ليمنيس"
"heroes.name.astral_dwarf_maegwyn","مايجوين"
"heroes.name.astral_dwarf_orcur","أوركور"
"heroes.name.astral_dwarf_pluth","بلوث"
"heroes.name.astral_dwarf_quari","كواري"
"heroes.name.astral_dwarf_salniss","سالنيس"
"heroes.name.astral_dwarf_sedille","سيديل"
"heroes.name.astral_dwarf_vard","فارد"
"heroes.name.astral_hammerclang","هومركلانج"
"heroes.name.astral_lemonwood","ليمونوود"
"heroes.name.astral_lionstring","لايونسترينج"
"heroes.name.astral_melodymuse","ميلوديموس"
"heroes.name.astral_moonbell","مونبيل"
"heroes.name.astral_mooncure","مونكيور"
"heroes.name.astral_moonflower","مونفلور"
"heroes.name.astral_sparklight","سباركلايت"
"heroes.name.astral_starlass","ستارلس"
"heroes.name.astral_starswift","ستارسويفت"
"heroes.name.astral_starwalker","ستارووكر"
"heroes.name.astral_voidstar","فويدستار"
"heroes.name.ballerina_armand","أرماند مونشارمين"
"heroes.name.ballerina_benno","بينو"
"heroes.name.ballerina_charlotta","شارلوتا"
"heroes.name.ballerina_christine_daae","كريستين داي"
"heroes.name.ballerina_daroga","داروغا"
"heroes.name.ballerina_firmin","فيرمين ريتشارد"
"heroes.name.ballerina_madame_giry","مدام جيري"
"heroes.name.ballerina_meg_giry","ميج جيري"
"heroes.name.ballerina_odette","أوديت"
"heroes.name.ballerina_odile","أوديل"
"heroes.name.ballerina_phantom_of_the_opera","شبح الأوبرا"
"heroes.name.ballerina_prince_siegfried","الأمير سيغفريد"
"heroes.name.ballerina_raul","راؤول"
"heroes.name.ballerina_swan_maiden","فتاة البجعة"
"heroes.name.ballerina_uberta","أوبيرتا"
"heroes.name.ballerina_von_rothbart","فون روثبارت"
"heroes.name.bard_astrid","أستريد"
"heroes.name.bard_balafon","ساليماتا"
"heroes.name.bard_belladonna","بلادونا"
"heroes.name.bard_bhaltair","بالتير"
"heroes.name.bard_bonzo","بونزو"
"heroes.name.bard_celimene","سيليمين"
"heroes.name.bard_darkbeat","عازف الظلام"
"heroes.name.bard_dunnar_hart","دونر هارت"
"heroes.name.bard_garyas","غارياس"
"heroes.name.bard_lyria","ليريا"
"heroes.name.bard_merith","ميرث"
"heroes.name.bard_narcisa","نارسيسا"
"heroes.name.bard_ogima","أوجيما"
"heroes.name.bard_phenexa","فينيكسا"
"heroes.name.bard_rhys","ريس"
"heroes.name.bard_winifred","وينيفريد"
"heroes.name.bard_zarel","زاريل"
"heroes.name.bard_zhabog","شابوغ"
"heroes.name.beachparty_andy_jay","آندي جاي"
"heroes.name.beachparty_brebarg","بريبارغ"
"heroes.name.beachparty_davey_wavey","ديفي ويفي"
"heroes.name.beachparty_dillo","ديلو"
"heroes.name.beachparty_dolrak","دولراك"
"heroes.name.beachparty_flip","فليب"
"heroes.name.beachparty_itham","إيثام"
