"herocard.family.title.abyss","عائلة العالم السفلي"
"herocard.family.title.abyss.short","العالم السفلي"
"herocard.family.title.abyss_hunter","عائلة صائد الجحيم"
"herocard.family.title.abyss_hunter.short","صائد الجحيم"
"herocard.family.title.alfheim","عالم ألفهايم"
"herocard.family.title.alfheim.short","ألفهايم"
"herocard.family.title.asgard","عالم أسغارد"
"herocard.family.title.asgard.short","أسغارد"
"herocard.family.title.astral_demons","الشياطين النجمية"
"herocard.family.title.astral_demons.short","الشياطين النجمية"
"herocard.family.title.astral_dwarfs","عائلة الأقزام النجمية"
"herocard.family.title.astral_dwarfs.short","الأقزام النجمية"
"herocard.family.title.astral_elves","عائلة الأقزام النجمية"
"herocard.family.title.astral_elves.short","الأقزام النجمية"
"herocard.family.title.atlantis","عائلة أطلانطس"
"herocard.family.title.atlantis.short","أطلانطس"
"herocard.family.title.bard","عائلة الشاعر"
"herocard.family.title.bard.short","الشاعر"
"herocard.family.title.beachparty","عائلة حفلة الشاطئ"
"herocard.family.title.beachparty.short","حفلة الشاطئ"
"herocard.family.title.bear","عائلة الدب"
"herocard.family.title.bear.short","دب"
"herocard.family.title.bear_pve.short","دب"
"herocard.family.title.beauty_beast","أسرة الشجاع والجميلة"
"herocard.family.title.beauty_beast.short","أسرة الشجاع والجميلة"
"herocard.family.title.beowulf","عائلة بيوولف"
"herocard.family.title.beowulf.short","بيوولف"
"herocard.family.title.champions","عائلة الأبطال"
"herocard.family.title.champions.short","الأبطال"
"herocard.family.title.circus","عائلة ستارفول"
"herocard.family.title.circus.short","ستارفول"
"herocard.family.title.classic","العائلة الكلاسيكية"
"herocard.family.title.classic.short","الكلاسيكية"
"herocard.family.title.construct","عائلة البناء"
"herocard.family.title.construct.short","البناء"
"herocard.family.title.cultist","عائلة عضو الطائفة"
"herocard.family.title.cultist.short","عضو الطائفة"
"herocard.family.title.cupid","عائلة كيوبيد"
"herocard.family.title.cupid.short","كيوبيد"
"herocard.family.title.easter","عائلة سبرينغفايل"
"herocard.family.title.easter.short","سبرينغفايل"
"herocard.family.title.fable","عائلة غابة الظلام"
"herocard.family.title.fable.short","غابة الظلام"
"herocard.family.title.faun","عائلة فون الغابات"
"herocard.family.title.faun.short","فون الغابات"
"herocard.family.title.fleur_de_sang","عائلة زهرة الدم"
"herocard.family.title.fleur_de_sang.short","زهرة الدم"
"herocard.family.title.fleur_de_sang_pve_tier1.short","زهرة الدم"
"herocard.family.title.fleur_de_sang_pve_tier2.short","زهرة الدم"
"herocard.family.title.fleur_de_sang_pve_tier3.short","زهرة الدم"
"herocard.family.title.forsaken","عائلة المنبوذ"
"herocard.family.title.forsaken.short","المنبوذ"
"herocard.family.title.fortune","عائلة راقص الحظ"
"herocard.family.title.fortune.short","الحظ"
"herocard.family.title.fox","عائلة الثعالب"
"herocard.family.title.fox.short","الثعلب"
"herocard.family.title.gargoyle","عائلة المزراب"
"herocard.family.title.gargoyle.short","المزراب"
"herocard.family.title.garrison","عائلة الحامية الحارسة"
"herocard.family.title.garrison.short","الحامية الحارسة"
"herocard.family.title.goblin","عائلة الجن"
"herocard.family.title.goblin.short","جني"
"herocard.family.title.guardian","العائلة الحارسة"
"herocard.family.title.guardian.short","الحارس"
"herocard.family.title.halloween","عائلة مورلوفيا"
"herocard.family.title.halloween.short","مورلوفيا"
"herocard.family.title.helheim","عالم هيلهايم"
"herocard.family.title.helheim.short","هيلهايم"
"herocard.family.title.hotm","عائلة {0} الأساطير"
"herocard.family.title.hotm.short","الأساطير {0}"
"herocard.family.title.institute","عائلة المؤسسة"
"herocard.family.title.institute.short","المؤسسة"
"herocard.family.title.investigator","عائلة المحقق"
"herocard.family.title.investigator.short","المحقق"
"herocard.family.title.japanese","عائلة ساكورا"
"herocard.family.title.japanese.short","ساكورا"
"herocard.family.title.jotunheim","عالم يوتنهايم"
"herocard.family.title.jotunheim.short","يوتنهايم"
"herocard.family.title.journey","عائلة الرحلة"
