"herocard.passive_skill.description.addmana.all.allies","Alle allierede får en lille smule mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Denne figur får {POWER} % mana, hver gang en fjende tager bløderskade."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Denne figur regenererer {POWER} HP, hver gang en fjende tager bløderskade."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Denne figur får {POWER} % mana, hver gang en fjende tager brandskade."
"herocard.passive_skill.description.bypassfamiliars.minion","Al skade givet af denne figur ignorerer håndlangere."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Al skade givet af denne figur ignorerer håndlangere og kæmpehåndlangere."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Chance for at øge varigheden af de kastede statuseffekter."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} runder: {1} %"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Hvis denne figur har noget som helst flyvemomentum, får den:
Op til {MAXMANAGENERATIONMODIFIER} % managendannelse.
Op til {MAXDODGEMODIFIER} % ekstra chance for at undvige. 
Effekten reduceres, jo mindre flyvemomentum figuren har."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Flyvemomentum {CHARGE} %
Denne figur har:
{MANAGENERATIONMODIFIER} % managendannelse.
{DODGEMODIFIER} % ekstra undvigelseschance."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Får {POWER} % mana ved starten af hver runde, hvis en allieret på slagmarken har en aktiv visne-effekt."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Hver {TURNS}. runde lever alle besejrede allierede op med {POWER} % HP."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Hver {TURNS}. runde lever besejrede allierede i nærheden op med {POWER} % HP."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Når denne figur begynder en runde med lavt helbred for første gang under en kamp, genvinder vedkommende {HEALTH} % helbred og modtager {MANA} % mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Når denne figur normalt ville tage skade fra en statuslidelse, genvinder den i stedet den samme mængde helbred."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Når denne figur normalt ville tage skade fra en statuslidelse, genvinder den i stedet helbred. Mængden af helbredelse udgør {MULTIPLIER} % af skaden."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER} % kritisk chance."
"herocard.passive_skill.description.damage.all.enemies","Forvolder {DAMAGE} % skade mod alle fjender."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Forvolder {DAMAGEPERTURN} skade mod alle modstanderens håndlangere og kæmpehåndlangere hver {TURNS}. runde."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Forvolder {DAMAGEPERTURN} skade mod alle modstanderens håndlangere og kæmpehåndlangere i begyndelsen af hver runde."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Forvolder {DAMAGEPERTURN} skade mod alle modstanderens håndlangere og kæmpehåndlangere i begyndelsen af hver runde."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Al skade fra normale angreb og særlige egenskaber, denne figur forvolder, øges med {DAMAGEINCREASEPERSTEP} % pr. {INSANITYPERSTEP} vanvid på denne figur op til {MAXDAMAGEINCREASE} %."
"herocard.passive_skill.description.dealtdamagemodifieragainststatuseffect.bloodlily.stacks.troop.specialskill.npcnormalattack.add_modifier_per_stack","Al skade fra normale angreb og særlige egenskaber forvoldet på denne figur øges med {MODIFIER} % pr. blodlilje-stak på målet."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Denne helts tropper giver yderligere elementskade til svagere elementer.

Ekstra elementskade: +{MODIFIER} %"
"herocard.passive_skill.description.debuffdamagereduction","Skade skabt af statuslidelser reduceret med {DAMAGEREDUCTION} %"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Skade skabt af statuslidelser reduceret med {DAMAGEREDUCTION} % for denne figur."
