"heroes.name_fancy.astral_cosmicspeaker","القزم النجمي عالم الفلك"
"heroes.name_fancy.astral_demilune","القزم النجمي العراف"
"heroes.name_fancy.astral_demon_agharoth","الشيطان النجمي حارس البوابة"
"heroes.name_fancy.astral_demon_anatemah","الشيطانة النجمية الإمبراطورة"
"heroes.name_fancy.astral_demon_haradea","مُسخِّر الفراغ الشيطاني النجمي"
"heroes.name_fancy.astral_demon_ibelis","الشيطان النجمي حارس الظلال"
"heroes.name_fancy.astral_demon_mael","الشيطان النجمي المتعقب"
"heroes.name_fancy.astral_demon_paimon","الشيطان النجمي المشرع"
"heroes.name_fancy.astral_demon_salome","الشيطانة النجمية الاجتماعية"
"heroes.name_fancy.astral_demon_turundh","محقق الشيطان النجمي"
"heroes.name_fancy.astral_demon_xshahr","الشيطان النجمي أمير الحرب"
"heroes.name_fancy.astral_demon_zondalath","حامل الشمس الشيطاني النجمي"
"heroes.name_fancy.astral_dreadstar","ملكة الأقزام النجميين"
"heroes.name_fancy.astral_dwarf_ceris","القزم النجمي الساحر"
"heroes.name_fancy.astral_dwarf_chires","قزم نجمي ولوع بالحلويات"
"heroes.name_fancy.astral_dwarf_errin","قزم نجمي صانع ألعاب"
"heroes.name_fancy.astral_dwarf_gongoth","القزم النجمي المنافس"
"heroes.name_fancy.astral_dwarf_haumri","القزم النجمي العراف"
"heroes.name_fancy.astral_dwarf_hygil","القزم النجمي رسام الخرائط"
"heroes.name_fancy.astral_dwarf_ixinn","القزم النجمي المدمر"
"heroes.name_fancy.astral_dwarf_lemniss","القزمة النجمية عاملة المنجم"
"heroes.name_fancy.astral_dwarf_maegwyn","نادلة الأقزام النجميين"
"heroes.name_fancy.astral_dwarf_orcur","القزم النجمي البستاني"
"heroes.name_fancy.astral_dwarf_pluth","القزم النجمي المُصلح"
"heroes.name_fancy.astral_dwarf_quari","القزم النجمي المسافر"
"heroes.name_fancy.astral_dwarf_salniss","القزم النجمي الحارس"
"heroes.name_fancy.astral_dwarf_sedille","القزمة النجمية حاملة الضوء"
"heroes.name_fancy.astral_dwarf_vard","سيد الأقزام النجمية الكبير"
"heroes.name_fancy.astral_hammerclang","القزم النجمي الحداد"
"heroes.name_fancy.astral_lemonwood","القزم النجمي الرامي"
"heroes.name_fancy.astral_lionstring","القزم النجمي الخياط"
"heroes.name_fancy.astral_melodymuse","القزم النجمي الشاعر"
"heroes.name_fancy.astral_moonbell","القزم النجمي المستحضر"
"heroes.name_fancy.astral_mooncure","القزم النجمي خبير البخور"
"heroes.name_fancy.astral_moonflower","القزم النجم النباتي"
"heroes.name_fancy.astral_sparklight","البطل القزم النجمي"
"heroes.name_fancy.astral_starlass","القزم النجمي الرامي"
"heroes.name_fancy.astral_starswift","القزم النجمي الشاب"
"heroes.name_fancy.astral_starwalker","ملك الأقزام النجميين"
"heroes.name_fancy.astral_voidstar","القزم النجمي الفارس العظيم"
"heroes.name_fancy.ballerina_armand","نصير الفنون المرتاب"
"heroes.name_fancy.ballerina_benno","صديق العرش"
"heroes.name_fancy.ballerina_charlotta","بريما دونا"
"heroes.name_fancy.ballerina_christine_daae","طائر الأوبرا المغرد"
"heroes.name_fancy.ballerina_daroga","النبيل ذو عيون اليشم"
"heroes.name_fancy.ballerina_firmin","مؤيد مبتدئ"
"heroes.name_fancy.ballerina_madame_giry","رئيسة الراقصات"
"heroes.name_fancy.ballerina_meg_giry","راقصة الباليه النجمة"
"heroes.name_fancy.ballerina_odette","البجعة البيضاء"
"heroes.name_fancy.ballerina_odile","البجعة السوداء"
"heroes.name_fancy.ballerina_phantom_of_the_opera","العقل المدبر الغامض"
"heroes.name_fancy.ballerina_prince_siegfried","ملك المستقبل"
"heroes.name_fancy.ballerina_raul","النبيل الولهان"
"heroes.name_fancy.ballerina_swan_maiden","إحدى البجعات الصغيرة"
"heroes.name_fancy.ballerina_uberta","الملكة الأرملة"
"heroes.name_fancy.ballerina_von_rothbart","الساحر المخيف"
"heroes.name_fancy.bard_astrid","شاعر الانبعاث"
"heroes.name_fancy.bard_balafon","شاعر مهرجانات الأرواح"
"heroes.name_fancy.bard_belladonna","الشاعر الخارق للطبيعة"
"heroes.name_fancy.bard_bhaltair","فرقة القزم الواحد"
"heroes.name_fancy.bard_bonzo","شاعر الغرابة"
"heroes.name_fancy.bard_celimene","شاعر الوهم"
"heroes.name_fancy.bard_darkbeat","مايسترو حلبة الرقص العنيف"
"heroes.name_fancy.bard_dunnar_hart","قارع الطبول الحممي"
"heroes.name_fancy.bard_garyas","شاعر السعادة"
"heroes.name_fancy.bard_lyria","العازفة متقدة الحماس"
"heroes.name_fancy.bard_merith","عازفة الكمان الماكرة"
"heroes.name_fancy.bard_narcisa","شاعرة الروعة"
"heroes.name_fancy.bard_ogima","شاعر الأرواح"
"heroes.name_fancy.bard_phenexa","شاعرة الهمسات"
"heroes.name_fancy.bard_rhys","شاعر الشجاعة"
"heroes.name_fancy.bard_winifred","شاعرة الإبداع"
"heroes.name_fancy.bard_zarel","شاعر المعرفة"
"heroes.name_fancy.bard_zhabog","شاعر الفصاحة"
"heroes.name_fancy.beachparty_andy_jay","المحتفل بالشواطئ المشمسة"
"heroes.name_fancy.beachparty_brebarg","خبير القلاع الرملية"
"heroes.name_fancy.beachparty_davey_wavey","قرش يتدرب"
"heroes.name_fancy.beachparty_dillo","أرماديلو مبلل"
"heroes.name_fancy.beachparty_dolrak","قزمٌ سفعته الشمس"
"heroes.name_fancy.beachparty_flip","الفقمة المنقذة"
"heroes.name_fancy.beachparty_flip_costume_donut","بائع دونات الفقمة"
"heroes.name_fancy.beachparty_itham","مدرس مدرسة السباحة الجن"
"heroes.name_fancy.beachparty_mazoga","جندي البحرية الأورك"
"heroes.name_fancy.beachparty_misty","قزم الغوص"
"heroes.name_fancy.beachparty_mortimer","الجن المظلم راكب الموج"
"heroes.name_fancy.beachparty_serena","سيدة الشاطئ الاجتماعية"
"heroes.name_fancy.beachparty_zenukwa","عاشق المثلجات"
"heroes.name_fancy.beauty_beast_cerissa","جنية القلعة المسحورة الرحيمة"
"heroes.name_fancy.beauty_beast_chandel","مُنير القلعة المسحورة"
"heroes.name_fancy.beauty_beast_dominique","الحامي الوفي"
"heroes.name_fancy.beauty_beast_ivete","الجنية الغيورة للقلعة المسحورة"
"heroes.name_fancy.beauty_beast_laurent","حارس القلعة المسحورة المتحجر"
"heroes.name_fancy.beauty_beast_lucas","الأخ الأصغر لدومينيك"
"heroes.name_fancy.beauty_beast_pendulus_clonk","ساعة نفاد صبر القلعة المسحورة"
"heroes.name_fancy.beauty_beast_rose_de_flo","زهرة القلعة المسحورة"
