"herocard.passive_skill.description.addmana.all.allies","Kaikki liittolaiset saavat pienen määrän manaa."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Hahmo saa {POWER} % manaa aina, kun vihollinen saa verenvuotovaurioita."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Hahmo paranee {POWER} terveyspistettä aina, kun vihollinen saa verenvuotovaurioita."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Hahmo saa {POWER} % manaa aina, kun vihollinen saa palovaurioita."
"herocard.passive_skill.description.bypassfamiliars.minion","Kaikki tämän hahmon tuottama vaurio ohittaa käskyläiset."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Kaikki tämän hahmon tuottama vaurio ohittaa käskyläiset ja megakäskyläiset."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Mahdollisuus pidentää loitsittujen tilaefektien kestoa."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} vuoroa: {1} %"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Jos tällä hahmolla on yhtään lentovauhtia, hän saa:
Enintään {MAXMANAGENERATIONMODIFIER} % manatuotantoa.
Enintään {MAXDODGEMODIFIER} %:n lisämahdollisuuden väistää. 
Vaikutukset ovat suhteessa hahmon jäljellä olevaan lentovauhtiin."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Lentovauhti {CHARGE} %
Tällä hahmolla on nyt:
{MANAGENERATIONMODIFIER} % manatuotantoa.
{DODGEMODIFIER} %:n lisämahdollisuus väistää."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Saa {POWER} % manaa jokaisen vuoron alussa, jos yhdelläkään taistelukentällä olevalla liittolaisella on aktiivinen näivetysefekti."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Elvyttää kaikki kukistuneet liittolaiset {TURNS} vuoron välein {POWER} % terveyteen."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Elvyttää kukistuneet lähellä olevat liittolaiset {TURNS} vuoron välein {POWER} % terveyteen."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Kun tämä hahmo aloittaa vuoron heikolla terveydellä ensimmäistä kertaa taistelun aikana, hän saa {HEALTH} % terveyttä ja {MANA} % manaa."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Aina kun tämä hahmo kärsisi vauriota vaivasta, hän saakin saman verran terveyttä takaisin."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Aina kun tämä hahmo kärsisi vauriota vaivasta, hän saakin terveyttä takaisin. Parannuksen määrä on {MULTIPLIER} % vauriosta."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER} % kriittisiä iskuja."
"herocard.passive_skill.description.damage.all.enemies","Tuottaa {DAMAGE} % vauriota kaikille vihollisille."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Tuottaa {DAMAGEPERTURN} vauriota kaikille vihollisen käskyläisille ja megakäskyläisille {TURNS} vuoron välein."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Tuottaa {DAMAGEPERTURN} vauriota kaikille vihollisen käskyläisille ja megakäskyläisille jokaisen vuoron alussa."
