"KEY","TEXT"
"account_deletion.cancel_request.button","Отменить удаление"
"account_deletion.dialog.cancel_request.message","Вы точно хотите [#ff362e]отменить[#] удаление учетной записи?"
"account_deletion.dialog.cancel_request.title","Отменить удаление"
"account_deletion.dialog.cancelled.message","Удаление учетной записи отменено."
"account_deletion.dialog.cancelled.title","Удаление отменено"
"account_deletion.dialog.final_confirmation.player_name_and_id","Имя игрока: {0}
Идентификатор учетной записи: {1}"
"account_deletion.dialog.final_confirmation.region","Ваше текущее местоположение: {0} 

Мы обработаем ваш запрос в соответствии с местными законами. Если местоположение неверно, выберите правильное из списка:"
"account_deletion.dialog.final_confirmation.region_unknown","Мы обработаем ваш запрос в соответствии с местными законами. Выберите свое местоположение из списка ниже:"
"account_deletion.dialog.final_confirmation.remember_id","Запишите показанный выше идентификатор учетной записи — он понадобится, если вы решите написать нам по поводу удаления учетной записи."
"account_deletion.dialog.final_confirmation.title","Удаление учетной записи"
"account_deletion.dialog.give_reason.message","Если можно, уточните, почему вы хотите удалить учетную запись."
"account_deletion.dialog.give_reason.title","Причина удаления"
"account_deletion.dialog.in_progress.message","Мы получили ваш запрос и в скором времени обработаем его. 

Игра: Empires & Puzzles
Идентификатор учетной записи: {0}

Можно отменить этот запрос на удаление учетной записи в течение 7 дней."
"account_deletion.dialog.in_progress.title","Идет удаление учетной записи"
"account_deletion.dialog.restart_game.message","Империя, которую вы строите, должна расти вместе с вами, и игра реализована так, что [#!]при сбросе прогресса вы ничего не выигрываете[#]. Empires & Puzzles сделана так, чтобы в нее можно было играть только с одной учетной записи. По ходу игры появится еще больше полезных героев и предметов. 

[#!]Обратите внимание, что в игре невозможно построить что-нибудь неправильно[#]. По ходу игры вы соберете все возможные здания."
"account_deletion.dialog.restart_game.title","Перезапуск игры"
"account_deletion.dialog.start_process.message","После подачи запроса на удаление ваша игровая учетная запись и игровой прогресс будут [#!]немедленно заморожены[#]. Когда обработка запроса будет завершена, [#!]мы не сможем ее отменить[#]. 

[#!]Весь ваш прогресс в игре будет потерян[#], включая любые игровые деньги и предметы, которые вы заработали или купили. Мы не сможем помочь вам с возвратом средств или по другим обращениям в поддержку, связанным с этой игрой.

Если вы хотите заблокировать платежи в существующей учетной записи или приостановить игру в учетной записи вместо того, чтобы ее удалять, обратитесь в поддержку пользователей.

Обратите внимание, что удаление игровой учетной записи не отменяет активные подписки. [#!]Подписки следует отменять через поставщика подписки[#] (Apple, Google, пр.).

Удаление учетной записи не мешает вам завести новую учетную запись и начать игру заново."
"account_deletion.dialog.start_process.title","Перед удалением этой игровой учетной записи рассмотрите следующее"
"account_deletion.reason_option.bugs_issues","Слишком много ошибок/проблем"
"account_deletion.reason_option.disagree_with_policy","Несогласие с условиями/политикой конфиденциальности"
"account_deletion.reason_option.harassment_abuse","Оскорбления/злоупотребление"
"account_deletion.reason_option.no_longer_play","Больше не играю"
"account_deletion.reason_option.other","Другое"
"account_deletion.reason_option.restart_game","Хочу начать игру заново"
"account_deletion.reason_option.select_reason","[Выбрать причину]"
"account_deletion.region_dropdown.other","Другое (не указано)"
"account_deletion.region_dropdown.select_region","[Выбрать регион]"
"account_deletion.terms_checkbox","Хочу удалить эту игровую учетную запись. Я осознаю, что потеряю весь игровой прогресс и набранные в игре предметы и что после обработки запроса на удаление его нельзя будет отменить."
"accountswitch.cloud","Облако"
"accountswitch.current","Текущая"
"accountswitch.keep","Оставить"
"accountswitch.message","Вы можете сохранить любой прогресс либо нажать Отмена и принять решение позже."
"accountswitch.replace_cloud","Оставить только эту"
"accountswitch.replace_cloud.info","Подтвердите, если вы хотите заменить вашу учетную запись в облаке на эту учетную запись."
"accountswitch.replace_cloud.title","Заменить уч. запись в облаке"
"accountswitch.replace_current.info","Подтвердите, если вы хотите заменить вашу текущую учетную запись на учетную запись в облаке."
"accountswitch.replace_current.title","Заменить текущую уч. запись"
"accountswitch.stronghold","Ур. цитадели"
"accountswitch.switch","Загрузить"
"accountswitch.title","Выбрать уч. запись"
"accountswitch.trophies","Трофеи"
"accountswitch.xp","Уровень опыта"
"ads.disabled.popup.description","В этой сборке нет рекламы. Вы все равно получите награды."
"ads.disabled.popup.title","Реклама недоступна"
"advanced_buildings.title#1","Открыто новое продвинутое здание"
"advanced_buildings.title#2","Открыты новые продвинутые здания"
"advanced_buildings.title#3","Открыты новые продвинутые здания"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","В начале каждого боя герой получает {ATTACK} % атаки на {TURNS} х."
"aetherpower.statuseffect.minor.aetherpowerberserk.single.allies","В начале каждого боя герой получает {ATTACK} % атаки, которая увеличивается еще на {CHANGE} % каждый раз, когда по нему попадают, в течение {TURNS} х., вплоть до {MAXMODIFIER} % атаки.

В боях, где больше одной волны, эффект обновляется в начале каждой волны."
"aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies","В начале каждого боя герой получает {DEFENSE} % защиты, которая увеличивается еще на {CHANGE} % каждый раз, когда по нему попадают, в течение {TURNS} х., вплоть до {MAXMODIFIER} % защиты.

В боях, где больше одной волны, эффект обновляется в начале каждой волны."
"aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies","В начале каждого боя герой получает {MULTIPLIER} % к снижению урона от недугов и негативных накапливаемых эффектов статуса на {TURNS} х.

В боях, где больше одной волны, эффект обновляется в начале каждой волны."
"aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies","В начале каждого боя герой получает {DEFENSE} % защиты на {TURNS} х."
"aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff","В начале каждого боя недуги героя снимаются в начале каждого хода в течение {TURNS} х.

В боях, где больше одной волны, эффект обновляется в начале каждой волны."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies","В начале каждого боя герой восстанавливает {TOTAL} увеличенного здоровья в течение {TURNS} х. Увеличенное здоровье может быть выше, чем макс. ОЗ.

В боях, где больше одной волны, эффект обновляется в начале каждой волны."
