"herocard.passive_skill.description.addmana.all.allies","Semua sekutu mendapat sedikit mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Karakter ini meraih {POWER}% mana setiap kali musuh mengalami kerusakan Berdarah."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Karakter ini meregenerasi {POWER} HP setiap kali musuh mengalami kerusakan Berdarah."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Karakter ini meraih {POWER}% mana setiap kali musuh mengalami kerusakan Terbakar."
"herocard.passive_skill.description.bypassfamiliars.minion","Semua kerusakan yang dilakukan oleh karakter ini melewati Antek."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Semua kerusakan yang dilakukan oleh karakter ini melewati Antek dan Antek Mega."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Peluang untuk meningkatkan durasi efek status rapalan."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} giliran: {1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Jika karakter ini memiliki Momentum Penerbangan dalam jumlah berapa pun, dia akan menerima:
Hingga {MAXMANAGENERATIONMODIFIER}% generasi mana.
Peluang ekstra hingga {MAXDODGEMODIFIER}% untuk berkelit. 
Efeknya akan berkurang jika karakter Momentum Penerbangan berkurang."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Momentum Penerbangan {CHARGE}%
Saat ini, karakter ini memiliki:
{MANAGENERATIONMODIFIER}% generasi mana.
Peluang ekstra {DODGEMODIFIER}% untuk berkelit."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Meraih {POWER}% mana di awal tiap giliran jika sekutu di medan tempur efek Layunya aktif."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Setiap {TURNS} giliran, membangkitkan semua sekutu yang kalah dengan {POWER}% HP."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Setiap {TURNS} giliran, membangkitkan semua sekutu terdekat yang kalah dengan {POWER}% HP."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Ketika karakter ini memulai giliran dengan kesehatan rendah untuk pertama kalinya dalam pertempuran, kesehatan mereka akan dipulihkan {HEALTH}% dan menerima {MANA}% mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Setiap kali karakter ini menderita kerusakan dari status pelemahan, kesehatannya malah akan pulih."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Setiap kali karakter ini menderita kerusakan dari status pelemahan, kesehatannya malah akan pulih. Jumlah pemulihan adalah {MULTIPLIER}% dari kerusakan."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","Peluang kritis {CRITICALMODIFIER}%."
"herocard.passive_skill.description.damage.all.enemies","Menimbulkan kerusakan {DAMAGE}% pada semua musuh."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Menimbulkan {DAMAGEPERTURN} kerusakan ke semua Antek dan Antek Mega musuh setiap {TURNS} giliran."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Menimbulkan {DAMAGEPERTURN} kerusakan ke semua Antek dan Antek Mega musuh di awal tiap giliran."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Menimbulkan {DAMAGEPERTURN} kerusakan ke semua Antek dan Antek Mega musuh di awal tiap giliran."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Semua kerusakan dari serangan normal dan Keahlian Khusus yang ditimbulkan karakter ini naik sebesar {DAMAGEINCREASEPERSTEP}% per {INSANITYPERSTEP} Kegilaan pada karakter ini hingga {MAXDAMAGEINCREASE}%."
"herocard.passive_skill.description.dealtdamagemodifieragainststatuseffect.bloodlily.stacks.troop.specialskill.npcnormalattack.add_modifier_per_stack","Semua kerusakan dari serangan normal dan Keahlian Khusus yang ditimbulkan karakter ini naik sebesar {MODIFIER}% per tumpukan Lili Berdarah pada sasaran."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Pasukan pahlawan ini menimbulkan kerusakan elemen tambahan terhadap elemen yang lebih lemah.

Menimbulkan kerusakan elemen tambahan: +{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","Kerusakan yang disebabkan oleh status pelemahan dikurangi dengan {DAMAGEREDUCTION}%"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Kerusakan yang disebabkan oleh status pelemahan berkurang {DAMAGEREDUCTION}% untuk karakter ini."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Inti Konstruksi karakter ini adalah Inti Destruktif.

The Inti Destruktif aktif setiap kali Keahlian Khusus karakter ini dirapal:

 Dengan Inti Destruktif terisi penuh, kerusakan {CHARGEDPOWER1}% ditimbulkan kepada semua musuh. 
 Kerusakan diskalakan sesuai jumlah cas di Inti. Semua cas habis saat Inti diaktifkan."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Karakter ini dibersihkan dari status pelemahan saat Antek miliknya dihancurkan."
"herocard.passive_skill.description.dodgespecialdamage","Karakter ini berpeluang {CHANCE}% untuk berkelit dari Keahlian Khusus yang menimbulkan kerusakan."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Saat karakter ini merapal Keahlian Khusus, semua Iblis hancur."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Tiap {TURNS} giliran, memakan semua Antek dari musuh secara acak dan mendapat sedikit mana tiap Antek yang dimakan."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Saat karakter ini mengalami kerusakan Keahlian Khusus, dia mendapat {POWER}% mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Saat karakter ini mengalami kerusakan langsung dari Keahlian Khusus atau Serangan Normal, dia mendapat sejumlah kecil mana. 
 Maksimum  {MAXMANAGAINPERTURN}% mana diraih per giliran."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Ketika karakter ini mengalami kerusakan dari Keahlian Khusus atau menggantikan karakter Terlindungi, ada peluang {CHANCE}% untuk menimbulkan {POWER}% dari kerusakan yang diterima kepada semua musuh."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Saat karakter ini menderita kerusakan dari Keahlian Khusus, ia meraih {STATUSEFFECT1ATTACK}% serangan Tumpukan (maks: {STATUSEFFECT1MAXSTACK}). Bisa meraih satu Tumpukan per giliran."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Saat karakter ini menderita kerusakan dari Keahlian Khusus, ia meraih {STATUSEFFECT1ATTACK}% serangan Tumpukan (maks: {STATUSEFFECT1MAXSTACK}). Bisa meraih satu Tumpukan per giliran."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Saat sekutu berusaha membersihkan dengan memakai Keahlian Khusus, semua sekutu menerima {POWER} peningkatan kesehatan. Efek ini hanya bisa diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Saat musuh berusaha membersihkan dengan memakai Keahlian Khusus, semua musuh menerima {POWER} kerusakan. Efek ini hanya bisa diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Karakter ini menerima {POWER}% mana setiap kali genjotan dienyahkan dari karakter ini. Efek ini hanya bisa diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Karakter ini menerima kesehatan {POWER}% setiap kali status pelemahan kedaluwarsa atau dibersihkan, dihapus atau direalokasi olehnya. Efek ini hanya bisa diaktifkan sekali per giliran."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Karakter ini berpeluang {CHANCE}% untuk menerima kesehatan {POWER}% setiap kali status pelemahan kedaluwarsa atau dibersihkan, dihapus, atau direalokasi olehnya. Efek ini hanya bisa diaktifkan sekali per giliran."
