"KEY","TEXT"
"account_deletion.cancel_request.button","Avbryt sletting"
"account_deletion.dialog.cancel_request.message","Er du sikker på at du vil [#ff362e]avbryte[#] prosessen med å slette kontoen?"
"account_deletion.dialog.cancel_request.title","Avbryt sletting"
"account_deletion.dialog.cancelled.message","Prosessen med å slette kontoen er avbrutt."
"account_deletion.dialog.cancelled.title","Sletting avbrutt"
"account_deletion.dialog.final_confirmation.player_name_and_id","Spillernavn: {0}
Konto-ID: {1}"
"account_deletion.dialog.final_confirmation.region","Du befinner deg for øyeblikket i: {0} 

Vi behandler forespørselen din i samsvar med lokale lover. Hvis dette stedet er feil, velger du det riktige stedet fra listen nedenfor:"
"account_deletion.dialog.final_confirmation.region_unknown","Vi behandler forespørselen din i samsvar med lokale lover. Velg stedet ditt fra listen nedenfor:"
"account_deletion.dialog.final_confirmation.remember_id","Merk deg konto-ID-en som vises ovenfor, hvis du trenger å kontakte oss igjen i forbindelse med slettingen av kontoen."
"account_deletion.dialog.final_confirmation.title","Sletting av konto"
"account_deletion.dialog.give_reason.message","Fortell oss hvorfor du vil slette kontoen din."
"account_deletion.dialog.give_reason.title","Årsak til sletting"
"account_deletion.dialog.in_progress.message","Vi har mottatt forespørselen din og starter prosessen snart. 

Spill: Empires & Puzzles
Konto-ID: {0}

Du kan avbryte denne forespørselen om sletting de neste syv dagene."
"account_deletion.dialog.in_progress.title","Venter på sletting av konto"
"account_deletion.dialog.restart_game.message","Riket du bygger, er ment å vokse med deg, og spillet er implementert på en slik måte at [#!]det ikke er noen fordel ved å tilbakestille fremdriften din[#]. Empires & Puzzles er designet for å spilles med kun én konto. Du finner flere nyttige helter og gjenstander når du spiller spillet videre. 

[#!]Merk deg at det ikke er mulig å bygge noe «feil» i spillet[#]. Du ender opp med alle de mulige bygningene etter hvert som du kommer lenger i spillet."
"account_deletion.dialog.restart_game.title","Start spillet på nytt"
