"herocard.passive_skill.description.addmana.all.allies","Alle bondgenoten krijgen er een kleine hoeveelheid mana bij."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Dit personage krijgt telkens als een vijand bloedschade oploopt {POWER}% mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Dit personage regenereert telkens als een vijand bloedschade oploopt {POWER} gezondheid."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Dit personage krijgt telkens als een vijand brandschade oploopt {POWER}% mana."
"herocard.passive_skill.description.bypassfamiliars.minion","Alle schade die wordt toegebracht aan dit personage slaat volgelingen over."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Alle schade die wordt toegebracht aan dit personage slaat volgelingen en megavolgelingen over."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Kans om de duur van toegebrachte statuseffecten te verlengen."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} beurten: {1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Als dit personage vluchtmomentum heeft, krijgt het:
Maximaal {MAXMANAGENERATIONMODIFIER}% manarecuperatie.
Maximaal {MAXDODGEMODIFIER}% extra kans op ontwijken. 
De effecten worden minder naarmate het personage minder vluchtmomentum heeft."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Vluchtmomentum {CHARGE}%
Dit personage heeft op dit moment:
{MANAGENERATIONMODIFIER}% manarecuperatie.
{DODGEMODIFIER}% extra kans op ontwijking."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Krijg {POWER}% extra mana aan het begin van elke beurt als een bondgenoot op het slagveld een actief verwelkingseffect heeft."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Laat om de {TURNS} beurten alle verslagen bondgenoten terugkeren met {POWER}% gezondheid."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Laat om de {TURNS} beurten alle verslagen bondgenoten in de buurt terugkeren met {POWER}% gezondheid."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Wanneer dit personage met weinig gezondheid voor de eerste keer in een gevecht aan een beurt begint, herstelt het {HEALTH}% gezondheid en ontvangt het {MANA}% mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Wanneer dit personage schade lijdt uit een statusaandoening of een negatief cumulatief effect, herstelt het net zoveel gezondheid."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Wanneer dit personage schade lijdt uit een statusaandoening of een negatief cumulatief effect, herstelt het gezondheid. De hoeveelheid genezing is {MULTIPLIER}% van de schade."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER}% kans op kritieke aanval."
"herocard.passive_skill.description.damage.all.enemies","Brengt {DAMAGE}% schade toe aan alle vijanden."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Brengt elke {TURNS} beurten {DAMAGEPERTURN} schade toe aan alle volgelingen en megavolgelingen."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Brengt aan het begin van iedere beurt {DAMAGEPERTURN} schade toe aan alle volgelingen en megavolgelingen."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Brengt aan het begin van iedere beurt {DAMAGEPERTURN} schade toe aan alle volgelingen en megavolgelingen."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Alle schade uit normale aanvallen en speciale vaardigheden die dit personage aanbrengt, wordt vergroot met {DAMAGEINCREASEPERSTEP}% per {INSANITYPERSTEP} waanzin op dit personage tot {MAXDAMAGEINCREASE}%."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single.troop.specialskill.npcnormalattack.add_modifier_per_stack","Alle schade die door dit personage wordt toegebracht met normale aanvallen en speciale vaardigheden wordt met {MODIFIER}% vergroot per gestapelde bloedlelie op het doelwit."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all.specialskill.any","Als bondgenoten dansen, brengt de speciale vaardigheid van dit personage {MODIFIERCHANGE}% meer schade toe."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","De troepen van dit personage brengen extra schade toe aan het zwakkere element.

Extra schade toegebracht: +{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","Schade veroorzaakt door statusaandoeningen en negatieve cumulatieve effecten wordt verminderd met {DAMAGEREDUCTION}%"
