"KEY","TEXT"
"account_deletion.cancel_request.button","Cancelar exclusão"
"account_deletion.dialog.cancel_request.message","Tem certeza de que quer [#ff362e]cancelar[#] o processo de exclusão da conta?"
"account_deletion.dialog.cancel_request.title","Cancelar exclusão"
"account_deletion.dialog.cancelled.message","O processo de exclusão da conta foi cancelado."
"account_deletion.dialog.cancelled.title","Exclusão cancelada"
"account_deletion.dialog.final_confirmation.player_name_and_id","Nome do jogador: {0}
Identificador da conta: {1}"
"account_deletion.dialog.final_confirmation.region","Você está em: {0} 

Seu pedido será processado de acordo com a legislação local. Caso sua localização esteja incorreta, escolha a localização correta na lista abaixo:"
"account_deletion.dialog.final_confirmation.region_unknown","Seu pedido será processado de acordo com a legislação local. Escolha sua localização na lista abaixo:"
"account_deletion.dialog.final_confirmation.remember_id","Use o identificador da conta acima para entrar em contato conosco em relação à exclusão da conta."
"account_deletion.dialog.final_confirmation.title","Exclusão de conta"
"account_deletion.dialog.give_reason.message","Informe o motivo por que você quer apagar sua conta."
"account_deletion.dialog.give_reason.title","Motivo da exclusão"
"account_deletion.dialog.in_progress.message","Recebemos seu pedido, e ele será processado em breve.

Jogo: Empires & Puzzles
Identificador da conta: {0}

Você terá sete dias para cancelar o pedido de exclusão da conta."
"account_deletion.dialog.in_progress.title","Exclusão de conta pendente"
"account_deletion.dialog.restart_game.message","O Império que você constrói deve crescer com você, e [#!]zerar seu progresso não oferece qualquer vantagem[#]. O Empires & Puzzles foi criado para ser jogado com apenas uma conta. Você encontrará mais heróis e itens úteis conforme avançar.

[#!]Observe que não é possível construir algo ""incorretamente"" no jogo[#]. Conforme avançar, você eventualmente terá todas as construções possíveis."
"account_deletion.dialog.restart_game.title","Reiniciar o jogo"
"account_deletion.dialog.start_process.message","Depois que o pedido de exclusão for enviado, sua conta e seu acesso ao jogo serão [#!]imediatamente suspensos[#]. Depois de concluído, o processo de exclusão [#!]será irreversível[#].

[#!]Você perderá todo o progresso no jogo[#], includsive moedas virtuais e itens recebidos ou comprados. Não poderemos ajudar mais com reembolsos ou outras questões de suporte relacionadas ao jogo.

Caso você queira bloquear os pagamentos na sua conta atual ou suspender o acesso ao jogo, em vez de apagar a conta, entre em contato com o suporte ao jogador.

Observe que a exclusão da conta de jogo não cancelará as assinaturas ativas. [#!]As assinaturas devem ser canceladas através do provedor de assinaturas[#] (Apple, Google etc.).

A exclusão não impede que você crie uma nova conta e recomece do zero no jogo."
"account_deletion.dialog.start_process.title","Antes de apagar a conta de jogo, observe o seguinte"
"account_deletion.reason_option.bugs_issues","Muitos bugs ou problemas"
"account_deletion.reason_option.disagree_with_policy","Não concordo com os Termos ou a Política de Privacidade"
"account_deletion.reason_option.harassment_abuse","Problemas com assédio ou abuso"
"account_deletion.reason_option.no_longer_play","Não jogo mais"
"account_deletion.reason_option.other","Outros"
"account_deletion.reason_option.restart_game","Quero reiniciar o jogo"
"account_deletion.reason_option.select_reason","[Selecione o motivo]"
"account_deletion.region_dropdown.other","Outros (não listados)"
"account_deletion.region_dropdown.select_region","[Selecione a região]"
"account_deletion.terms_checkbox","Quero apagar minha conta de jogo. Compreendo que perderei todo o progresso no jogo e todos os itens virtuais acumulados e que, após concluído, o processo de exclusão é irreversível."
"accountswitch.cloud","Nuvem"
"accountswitch.current","Atual"
"accountswitch.keep","Manter"
"accountswitch.message","Você pode optar por manter o progresso ou cancelar para decidir mais tarde."
"accountswitch.replace_cloud","Manter só este"
"accountswitch.replace_cloud.info","Se você tem certeza de que quer substituir a conta na nuvem pela conta atual, confirme a vinculação."
"accountswitch.replace_cloud.title","Substituir conta na nuvem"
"accountswitch.replace_current.info","Se você tem certeza de que quer substituir a conta na nuvem pela conta atual, confirme a vinculação."
"accountswitch.replace_current.title","Substituir conta atual"
"accountswitch.stronghold","Cidadela nível"
"accountswitch.switch","Carregar"
"accountswitch.title","Escolher conta"
