"specials.name.a_cozy_break","舒適小憩"
"specials.name.a_moment_of_joy","歡樂時刻"
"specials.name.a_rare_cultivar","稀有的栽培品種"
"specials.name.abiding_dogma","不變教條"
"specials.name.absorbed_underlings","被吸收的下屬"
"specials.name.absordium_deflectors","衝擊吸收板"
"specials.name.abyssal_incantation","深淵咒語"
"specials.name.accelerated_growth","加速成長"
"specials.name.aces_high","至高至強"
"specials.name.acid_bite","腐蝕性啃咬"
"specials.name.acoustic_surge","聲浪"
"specials.name.acute_cut","銳爪"
"specials.name.adamantite_claw","金剛利爪"
"specials.name.adamantium_horn","亞德曼合金角"
"specials.name.adorable_beam","公仔射線"
"specials.name.adorable_bolt","公仔閃電"
"specials.name.adorable_burning_strike","公仔火擊"
"specials.name.adorable_cold_blast","公仔暴風雪"
"specials.name.adorable_entangling_shot","公仔驚奇射擊"
"specials.name.adorable_four_blades","四連斬公仔"
"specials.name.adorable_gamblers_stance","公仔姿態"
"specials.name.adorable_hammer","錘子公仔"
"specials.name.adorable_have_faith","公仔信念"
"specials.name.adorable_heal","療愈公仔"
"specials.name.adorable_massive_chop","公仔驚奇砍擊"
"specials.name.adorable_pest","可愛的害蟲"
"specials.name.adorable_piercing_strike","公仔強力打擊"
"specials.name.adorable_pulverizer","粉碎者公仔"
"specials.name.adorable_purification","公仔化"
"specials.name.adorable_ramming_rush","公仔驚奇猛攻"
"specials.name.adorable_ramming_rush_isshtak","公仔猛攻"
"specials.name.adorable_shatter","粉碎者公仔"
"specials.name.adorable_shield","護盾公仔"
"specials.name.adorable_skin","公仔皮膚"
"specials.name.adorable_sonic_wall","公仔牆"
"specials.name.adorable_spear","卡通長矛"
"specials.name.adorable_strike","公仔打擊"
"specials.name.adorable_swords","公仔牆"
"specials.name.adorable_tactical_cut","公仔驚奇切擊"
"specials.name.adorable_wind_prayer","祈禱者公仔"
"specials.name.adventure_awaits","冒險之旅正等著你！"
"specials.name.advice_from_beyond","來自上頭的指示"
"specials.name.aerial_abduction","天際挾持"
"specials.name.aerial_capture","天際佔領"
"specials.name.aerial_ram","空中撞錘"
"specials.name.aether_mimic_bite_blue","渴望之咬"
"specials.name.aether_mimic_bite_green","渴望之咬"
"specials.name.aether_mimic_bite_purple","渴望之咬"
"specials.name.aether_mimic_bite_red","渴望之咬"
"specials.name.aether_mimic_bite_yellow","渴望之咬"
"specials.name.age_old_antlers","古老鹿角"
"specials.name.aggravating_gaze","惱怒目光"
"specials.name.alchemy_experiment","煉金實驗"
"specials.name.alpha_roar","阿爾法之吼"
"specials.name.amazing_deals","驚人優惠"
"specials.name.amazing_deals_clearance_sale","清倉特賣"
"specials.name.amazing_deals_dull_swords","鈍刀"
"specials.name.amazing_deals_questionable_snake_oil","可疑蛇油"
"specials.name.amphibian_sword_sting","兩棲劍刺"
"specials.name.amphibious_assault","兩棲突擊"
"specials.name.ancient_dragon_sword","遠古巨龍劍"
"specials.name.ancient_enchantment","古老魔法"
"specials.name.ancient_flames","古代火焰"
"specials.name.ancient_martial_arts","上古武術家"
"specials.name.ancient_mirror","遠古明鏡"
"specials.name.ancient_ritual","遠古儀式"
"specials.name.ancient_spell","遠古之咒"
"specials.name.ancient_technology","上古科技"
"specials.name.ancient_vengeance","遠古復仇"
"specials.name.anger_of_forest","森林之怒"
"specials.name.anger_of_the_jester","小丑之怒"
"specials.name.anger_of_the_woods","森林之怒"
"specials.name.anger_of_the_woods_pve","森林之怒"
"specials.name.angry_boar","憤怒野豬"
"specials.name.angry_boar_pve","憤怒野豬"
"specials.name.anthem_of_the_lake","聖湖頌歌"
"specials.name.aphotic_maw","無光深口"
"specials.name.aphotic_whisper","無光低語"
"specials.name.apothecary_kit","藥劑師行囊"
"specials.name.aquatic_dance","水生舞步"
"specials.name.aquatic_outbreak","水生爆發"
"specials.name.arcane_blast","奧術爆裂"
"specials.name.arcane_shock","祕法震波"
"specials.name.archaic_dread","古老恐懼"
"specials.name.archaic_sacred_symbol","古老神聖符號"
"specials.name.arctic_breeze","極地微風"
"specials.name.arctic_guard","極地守衛"
"specials.name.arctic_veil","極地面紗"
"specials.name.arctic_wound","極地創傷"
"specials.name.arrow_of_desire","慾望之箭"
"specials.name.arrow_of_nujalik","努賈里克之箭"
"specials.name.arrows_and_claws","箭矢與利爪"
"specials.name.arrows_of_altruism_liora","無私之箭"
"specials.name.arrows_of_frost","冰霜之箭"
"specials.name.arrows_of_fury","憤怒之箭"
"specials.name.artful_backstab","巧妙背刺"
"specials.name.artful_recreation","需要修補的傑作"
"specials.name.artisans_shot","工匠射擊"
