"KEY","TEXT"
"account_deletion.cancel_request.button","Silmeyi İptal Et"
"account_deletion.dialog.cancel_request.message","Hesap silme işlemini [#ff362e]iptal etmek[#] istediğinden emin misin?"
"account_deletion.dialog.cancel_request.title","Silmeyi İptal Et"
"account_deletion.dialog.cancelled.message","Hesap silme işlemi iptal edildi."
"account_deletion.dialog.cancelled.title","Silme İptal Edildi"
"account_deletion.dialog.final_confirmation.player_name_and_id","Oyuncu adı: {0}
Hesap kimliği: {1}"
"account_deletion.dialog.final_confirmation.region","Şu anda {0} konumundasın

İsteğini yerel kanunlar uyarınca işleme alacağız. Belirtilen konum yanlışsa lütfen aşağıdaki listeden doğru konumu seç:"
"account_deletion.dialog.final_confirmation.region_unknown","İsteğini yerel kanunlar uyarınca işleme alacağız. Lütfen aşağıdaki listeden konumunu seç:"
"account_deletion.dialog.final_confirmation.remember_id","Lütfen yukarıda gösterilen hesap kimliğini not al ve hesap silme işlemiyle ilgili olarak bizimle tekrar iletişime geçmen gerekirse bunu kullan."
"account_deletion.dialog.final_confirmation.title","Hesap Silme"
"account_deletion.dialog.give_reason.message","Lütfen hesabını neden silmek istediğini belirt."
"account_deletion.dialog.give_reason.title","Silme Nedeni"
"account_deletion.dialog.in_progress.message","İsteğini aldık ve yakında işleme alacağız. 

Oyun: Empires & Puzzles
Hesap Kimliği: {0}

Bu silme isteğini iptal etmek için 7 gün vaktin var."
"account_deletion.dialog.in_progress.title","Hesap Silme Beklemede"
"account_deletion.dialog.restart_game.message","Kurduğun İmparatorluğun seninle büyümesi gerekir ve oyun, [#!]ilerlemeni sıfırlamanın fayda getirmeyeceği[#] bir şekilde geliştirilmiştir. Empires & Puzzles yalnızca bir hesapla oynamak için tasarlanmıştır. Oyunda ilerledikçe daha kullanışlı Kahramanlar ve nesneler bulursun. 

[#!]Lütfen oyunda ""yanlış"" bir şey inşa etmenin mümkün olmadığını unutma[#]. Oyun ilerledikçe mümkün olan tüm binaları edinirsin."
"account_deletion.dialog.restart_game.title","Oyunu Yeniden Başlat"
"account_deletion.dialog.start_process.message","Silme isteğini gönderdikten sonra oyun hesabın ve oyunun [#!]anında askıya alınacak[#]. Silme isteğin tamamlandığında bu işlem [#!]geri alınamaz[#]. 

Kazandığın veya satın aldığın sanal para birimleri ve nesneler de dâhil olmak üzere [#!]tüm oyun ilerlemen kaybedilir[#]. Artık bu oyunla ilgili iadeler veya bekleyen Destek istekleri hakkında sana yardımcı olamayız.

Mevcut hesabında ödemeleri engellemek veya oyunu askıya almak istiyorsan hesabını silmek yerine Oyuncu Desteğiyle iletişime geç.

Lütfen bu hesabı silmenin aktif abonelikleri iptal etmeyeceğini unutma. [#!]Abonelikler, abonelik sağlayıcısı üzerinden iptal edilmelidir[#] (Apple, Google vb.).

Hesabını silmek, yeni bir hesap oluşturup oyuna baştan başlamana engel değildir."
"account_deletion.dialog.start_process.title","Bu Oyun Hesabını Silmeden Önce Lütfen Aşağıdakileri Dikkate Al"
"account_deletion.reason_option.bugs_issues","Çok fazla hata/sorun"
"account_deletion.reason_option.disagree_with_policy","Şartları/gizlilik politikasını kabul etmiyorum"
"account_deletion.reason_option.harassment_abuse","Taciz/kötüye kullanma endişeleri"
"account_deletion.reason_option.no_longer_play","Artık oyunu oynamıyorum"
"account_deletion.reason_option.other","Diğer"
"account_deletion.reason_option.restart_game","Oyuna baştan başlamak istiyorum"
"account_deletion.reason_option.select_reason","[Neden seç]"
"account_deletion.region_dropdown.other","Diğer (Yer Almıyor)"
"account_deletion.region_dropdown.select_region","[Bölge seç]"
"account_deletion.terms_checkbox","Bu oyun hesabını silmek istiyorum. Tüm oyun ilerlememi ve oyunda biriktirdiğim sanal nesneleri kaybedeceğimi ve silme isteğim tamamlandıktan sonra işlemin geri alınamayacağını anlıyorum."
"accountswitch.cloud","Bulut"
"accountswitch.current","Mevcut"
"accountswitch.keep","Kalsın"
"accountswitch.message","İlerlemenin kalmasını seçebilir veya daha sonra karar vermek istiyorsan, iptal edebilirsin."
"accountswitch.replace_cloud","Sadece bu kalsın"
"accountswitch.replace_cloud.info","Bulut hesabını mevcut hesapla değiştirmek istediğinden eminsen, bağlantıyı onayla."
"accountswitch.replace_cloud.title","Bulut hesabını değiştir"
"accountswitch.replace_current.info","Mevcut hesabı bulut hesabıyla değiştirmek istediğinden eminsen, bağlantıyı onayla."
"accountswitch.replace_current.title","Mevcut hesabı değiştir"
"accountswitch.stronghold","Kale lvl"
"accountswitch.switch","Yükle"
"accountswitch.title","Hesap seç"
"accountswitch.trophies","Kupalar"
"accountswitch.xp","XP Seviyesi"
"ads.disabled.popup.description","Reklamlar bu sürümde mevcut değil. Yine de ödüller alacaksın."
"ads.disabled.popup.title","Reklam Yok"
"advanced_buildings.title#1","Yeni Gelişmiş Bina Açıldı"
"advanced_buildings.title#2","Yeni Gelişmiş Bina Açıldı"
"advanced_buildings.title#3","Yeni Gelişmiş Bina Açıldı"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca %{ATTACK} saldırı alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerberserk.single.allies","Her savaşın başında, bu kahraman %{ATTACK} saldırı alır ve {TURNS} tur boyunca her vurulduğunda en fazla %{MAXMODIFIER} saldırı olmak üzere %{CHANGE} artış daha alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies","Her savaşın başında, bu Kahraman %{DEFENSE} savunma ve {TURNS} tur boyunca her vurulduğunda en fazla %{MAXMODIFIER} savunma olmak üzere %{CHANGE} artış daha alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca durum engellerinden alınan hasar için %{MULTIPLIER} azaltma alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca %{DEFENSE} savunma alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff","Her savaşın başında, {TURNS} tur boyunca bu Kahramanın durum engelleri turun sonunda arındırılır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca {TOTAL} güçlendirilmiş sağlık yeniler. Güçlendirilmiş sağlık, maks. SP'yi aşabilir.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca {TOTAL} sağlık yeniler.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerfixedmanarecovery.small.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca küçük bir miktarda mana alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowergamble.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca %{ACCURACY} isabetlilikle %{ATTACK} saldırı alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerhealmultiplier.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca alınan herhangi bir şifa için %{HEALING} artış alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerlifesteal.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca verilen normal hasarın %{LIFESTEAL} kadarını iyileştirir.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowermanagenerationmodifier.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca %{MANAREGEN} mana üretimi alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowermummyreincarnation.single.allies","Bu Kahraman savaşın ilk 5 turunda yenilirse %{ATTACK} saldırı ve %{DEFENSE} savunmaya sahip bir Mumya olarak dirilir.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerreceiveddamagemodifier.single.allies.decrease","Her savaşın başında, bu Kahramanın aldığı tüm hasar {TURNS} tur boyunca [#!]%{DAMAGEREDUCTION}[#] azalır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerreflectminordebuffstorandomenemy.single.allies","Her savaşın başında, bu Kahraman alacağı arındırılabilen durum engellerini {TURNS} tur boyunca rakip takımdaki rastgele bir karaktere yansıtır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerspecialdamagepowermodifier.single.allies","Her savaşın başında, bu Kahramanın Özel Yeteneği {TURNS} tur boyunca ek %{POWER} hasar verir.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.aetherpowerspecialskilldefensemodifier.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca Özel Yeteneklere karşı %{SPECIALSKILLDEFENSE} savunma alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.block.single.allies","Her savaşın başında, {TURNS} tur boyunca bu Kahramanın alınan herhangi bir hasarı 1'e düşürmesi için %{BLOCKCHANCE} şans bulunur.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.counterattack.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca alınan hasarın %{DEFLECTION} kadarıyla kontratak yapar.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.debuffshield.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca yeni durum engellerine bağışıklık kazanır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.dodgespecialdamage.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca hasar veren Özel Yetenekleri savuşturmak için %{DODGE} şans alır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.reflectdebuffdamage.single.allies.targets.all","Her savaşın başında, bu Kahraman durum engellerinden aldığı hasarın %{DEFLECTION} kadarını {TURNS} tur boyunca düşmanlara yansıtır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.reflectminordebuffs.single.allies.randomenemy","Her savaşın başında, bu Kahraman alacağı arındırılabilen durum engellerini {TURNS} tur boyunca rakip takımdaki rastgele bir karaktere yansıtır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.resistnewparasites.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca yeni Canavarlara bağışıklık kazanır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.revive.aetherrevive.single.allies","Bu Kahraman, bir savaştaki ilk {TURNS} tur sırasında ölürse bir sonraki turun başında %{HEALTH} sağlık ile dirilir. Kahraman yenildiğinde tüm durum efektleri ve istifler kaldırılır.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"aetherpower.statuseffect.minor.taunt.single.allies","Her savaşın başında, bu Kahraman {TURNS} tur boyunca Alay alır. Alay, düşmanların Kahramanın müttefiklerine Özel Yetenek uygulamasını önler.

Birkaç dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"alchemy.surplusremoval.body","Simya Laboratuvarı şu anda reçete başına 100 dönüşümle sınırlı. Sınırı geçen tüm dönüşümler sıradan kaldırıldı ve bunlar için kullanılan tüm malzemeler bu mesaja eklendi."
"alchemy.surplusremoval.title","Simya Laboratuvarı Malzemeleri"
"alchemylab.alchemy","Simya"
"alchemylab.boost","Güçlendirici"
"alchemylab.boost.confirmation","Bu güçlendiriciyi satın almak fazladan [#!]{0}[#] Alka parçası verir. Bu işlemi tamamlamak ister misin?"
"alchemylab.boost.get_more_alkashards#1","Fazladan [#!]{0}[#] [#!]Alka parçası[#] al!"
"alchemylab.boost.get_more_alkashards#2","Fazladan [#!]{0}[#] [#!]Alka parçası[#] al!"
"alchemylab.boost.get_more_alkashards#3","Fazladan [#!]{0}[#] [#!]Alka parçası[#] al!"
"alchemylab.boosted","Güçlendirildi!"
"alchemylab.cancel.really","[#!]Epik nesneleri kalıcı olarak yok etmek[#] üzeresin! Kullanılan kaynak veya nesnelerin hiçbirini geri [#!]alamazsın[#]!

Kesinlikle emin misin?"
"alchemylab.cancel.title","Dönüşümü durdur?"
"alchemylab.choose.text","Bileşen eklemek için nesnelere dokun"
"alchemylab.chosen.text","Seçilen bileşenler"
"alchemylab.craft.button","Dönüştür"
"alchemylab.description.transmuting","Dönüşüyor: {0}"
"alchemylab.description.transmuting.max","Dönüşüyor: {0} (maks.)"
"alchemylab.extra","Ekstra!"
"alchemylab.migration.info.body","Simya Laboratuvarı için bir güncelleme yapıldı! Değişikliklerin hazır olması için devam eden eylemler otomatik olarak tamamlandı ve sıradaki eylemler için geri ödeme yapıldı. Sonuçlar gelen kutunda!"
"alchemylab.migration.info.title","Simya Laboratuvarı güncellemesi"
"alchemylab.migration.refundmail.body","Simya Laboratuvarı güncellendi! Sıradaki dönüşümlerin için geri ödeme yapıldı.

İşte, sırada bulunan nesnelerin ve kaynakların."
"alchemylab.migration.refundmail.title","Simya Laboratuvarı dönüşümleri için geri ödeme yapıldı"
"alchemylab.migration.researchmail.body","Simya Laboratuvarı güncellendi! Devam eden araştırman otomatik olarak tamamlandı ve toplandı."
"alchemylab.migration.researchmail.title","Simya Laboratuvarı araştırması bitti"
"alchemylab.migration.resultmail.body","Simya Laboratuvarı güncellendi! Devam eden dönüşümlerin otomatik olarak tamamlandı.

İşte, biten ve nesneleri alınmayan tüm dönüşümlerinin sonuçları."
"alchemylab.migration.resultmail.title","Simya Laboratuvarı dönüşümleri bitti"
"alchemylab.ready","Dönüşüm tamamlandı!"
"alchemylab.researchingelsewhere","Bu reçeteyi araştırmak için başka bir araştırmanın bitmesini bekle."
"alchemylab.showavailableingredients.button","Tümünü göster"
"alchemylab.showchoseningredients.button","Seçilenleri göster"
"alchemylab.transmutation.cancel","Bu nesnelerin dönüşümü çoktan başladı. Bu dönüştürmeyi sıradan kaldırırsan harcadığın tüm nesneler ve kaynaklar [#!]kalıcı olarak yok edilir[#]!

Bu nesneleri ve kaynakları yok etmek istediğinden emin misin?"
"alchemylab.transmutationready.message","Dönüşüm sonuçları:"
"alchemylab.transmute.autofill","Otomatik doldur"
"alchemylab.transmute.button","Dönüştür"
"alchemylab.transmute.cauldron_full","Kazan dolu!"
"alchemylab.transmute.confirmation.epic","Bu dönüşümde {0} [#!]epik yükseliş malzemesi[#] tüketmek üzeresin.

Emin misin?"
"alchemylab.transmute.odds.title","Dönüşüm oranları"
"alchemylab.transmute.required_ingredients","Gerekli malzemeler:"
"alchemylab.transmutetime","Dönüşüm süresi: [#!]{0}[#]"
"alkashard.dialog.cost","Harcanan Alka parçaları:"
"alkashard.dialog.guide","Şunlardan birini seç:"
"alkashard.dialog.info.message","Alka parçalarını birleştirdiğinde rastgele bir nesne seçiminden bir nesne seçmelisin.

Nesne seçimi, Alka parçaları birleştirilinceye kadar aynı kalır."
"alkashard.dialog.title","Alka parçalarını birleştir"
"alkashard.done.dialog.title","Alka parçalarından birleştirildi!"
"alliance.activetitan","Aktif Titan"
"alliance.activity","[#!]Aktivite:[#] [%115]{0}[%]"
"alliance.activity.description","Yakın zamanda çevrimiçi olan ittifak üyelerinin oranını belirtir."
"alliance.activity.title","İttifak Aktivitesi"
"alliance.activity_entry","Aktivite:"
"alliance.alliances","İttifaklar"
"alliance.chat.joinrequest","Katılım isteğini kabul et?"
"alliance.chat.joinrequest.accept","Kabul et"
"alliance.chat.joinrequest.accepted","[#00ff00]Kabul etti[#]: [#!]{0}[#]"
"alliance.chat.joinrequest.reject","Reddet"
