"specials.name.a_cozy_break","استراحة مريحة"
"specials.name.a_moment_of_joy","لحظة من الفرح"
"specials.name.a_rare_cultivar","صنف مستولد نادر"
"specials.name.abiding_dogma","العقيدة الراسخة"
"specials.name.absorbed_underlings","التابعون الممتصون"
"specials.name.absordium_deflectors","عاكس التأثيرات"
"specials.name.abyssal_incantation","التعويذة الجهنمية"
"specials.name.accelerated_growth","النمو المتسارع"
"specials.name.aces_high","قمة الاحترام"
"specials.name.acid_bite","العضة القارضة"
"specials.name.acorn_bombardment","قصف بلوط"
"specials.name.acoustic_surge","تدفق صوتي"
"specials.name.acute_cut","قطع حاد"
"specials.name.adamantite_claw","المخلب الشرس"
"specials.name.adamantium_horn","بوق أدامنتيوم"
"specials.name.adorable_beam","الشعاع الكرتوني"
"specials.name.adorable_bolt","صعق كرتون"
"specials.name.adorable_burning_strike","ضربة النيران الكرتونية"
"specials.name.adorable_cold_blast","العاصفة الثلجية الكرتونية"
"specials.name.adorable_entangling_shot","الطلقة الكرتونية الرائعة"
"specials.name.adorable_four_blades","ضربة الشخصيات الكرتونية الأربعة القاطعة"
"specials.name.adorable_gamblers_stance","موقف كرتوني"
"specials.name.adorable_hammer","مطرقة كرتونية"
"specials.name.adorable_have_faith","إيمان الشخصية الكرتونية"
"specials.name.adorable_heal","شفاء كرتوني"
"specials.name.adorable_massive_chop","الضربة الكرتونية الرائعة"
"specials.name.adorable_pest","حشرة لطيفة"
"specials.name.adorable_piercing_strike","ضربة القوة الكرتونية"
"specials.name.adorable_pulverizer","الساحق الكرتوني"
"specials.name.adorable_purification","التحويل إلى رسم كرتوني"
"specials.name.adorable_ramming_rush","الاندفاع الكرتوني الرائع"
"specials.name.adorable_ramming_rush_isshtak","الاندفاع الكرتوني"
"specials.name.adorable_shatter","التحطيم الكرتوني"
"specials.name.adorable_shield","درع كرتوني"
"specials.name.adorable_skin","المظهر الكرتوني"
"specials.name.adorable_sonic_wall","الحائط الكرتوني"
"specials.name.adorable_spear","الرمح الكرتوني"
"specials.name.adorable_strike","ضربة كرتونية"
"specials.name.adorable_swords","حائط الرسومات الكرتونية"
"specials.name.adorable_tactical_cut","القطع الكرتوني الرائع"
"specials.name.adorable_wind_prayer","الدعوة الكرتونية"
"specials.name.adventure_awaits","المغامرة تنتظرك!"
"specials.name.adventurers_slash","ضربة المغامر القاطعة"
"specials.name.advice_from_beyond","نصيحة من العالم الآخر"
"specials.name.aerial_abduction","اختطاف جوي"
"specials.name.aerial_capture","لقطة جوية"
"specials.name.aerial_ram","الكبش الجوي"
"specials.name.aether_mimic_bite_blue","قضمة اشتهاء"
"specials.name.aether_mimic_bite_green","قضمة اشتهاء"
"specials.name.aether_mimic_bite_purple","قضمة اشتهاء"
"specials.name.aether_mimic_bite_red","قضمة اشتهاء"
"specials.name.aether_mimic_bite_yellow","قضمة اشتهاء"
"specials.name.aetheric_transmutation","التحول الأثيري"
"specials.name.age_old_antlers","القرون العتيقة"
"specials.name.aggravating_gaze","النظرة الغاضبة"
"specials.name.alchemist_lance","رمح الكيميائي"
"specials.name.alchemy_experiment","تجربة الخيمياء"
"specials.name.alpha_roar","زئير ألفا"
"specials.name.always_on_time","دومًا في الوقت المناسب"
"specials.name.amazing_deals","صفقات رائعة"
"specials.name.amazing_deals_clearance_sale","تخفيضات التصفية"
"specials.name.amazing_deals_dull_swords","سيوف بالية"
"specials.name.amazing_deals_questionable_snake_oil","زيت ثعبان مريب"
"specials.name.amphibian_sword_sting","لدغة سيف البرمائيات"
"specials.name.amphibious_assault","هجوم برمائي"
"specials.name.ancient_dragon_sword","سيف تنين قديم"
"specials.name.ancient_enchantment","السحر القديم"
"specials.name.ancient_flames","اللهب العتيق"
"specials.name.ancient_martial_arts","الفنون القتالية القديمة"
"specials.name.ancient_mirror","المرآة القديمة"
"specials.name.ancient_ritual","طقوس عتيقة"
"specials.name.ancient_spell","التعويذة القديمة"
"specials.name.ancient_technology","تقنية قديمة"
"specials.name.ancient_vengeance","الانتقام القديم"
"specials.name.anger_of_forest","غضب الغابة"
"specials.name.anger_of_the_jester","غضب المهرج"
"specials.name.anger_of_the_woods","غضب الغابة"
"specials.name.anger_of_the_woods_pve","غضب الغابة"
"specials.name.angry_boar","حنزير غاضب"
"specials.name.angry_boar_pve","حنزير غاضب"
"specials.name.anthem_of_the_lake","أنشودة البحيرة"
"specials.name.aphotic_maw","فك الظلام"
"specials.name.aphotic_whisper","الهمس الخافت"
"specials.name.apothecary_kit","عدَّة العطار"
"specials.name.aquatic_dance","رقص مائي"
"specials.name.aquatic_outbreak","التفشي المائي"
"specials.name.arcane_blast","انفجار غامض"
"specials.name.arcane_shock","صدمة الغموض"
"specials.name.archaic_dread","الفزع العتيق"
"specials.name.archaic_sacred_symbol","الرمز العتيق المقدس"
"specials.name.arctic_breeze","النسيم القطبي"
"specials.name.arctic_guard","حارس القطب الشمالي"
"specials.name.arctic_hunt","الصيد القطبي"
"specials.name.arctic_veil","الستار القطبي"
"specials.name.arctic_wound","الجرح القطبي"
"specials.name.ardent_panacea","أردن باناسيا"
"specials.name.arrow_of_desire","سهم الرغبة"
"specials.name.arrow_of_nujalik","سهم نوجاليك"
"specials.name.arrows_and_claws","سهام ومخالب"
"specials.name.arrows_of_altruism_liora","سهام الإيثار"
"specials.name.arrows_of_frost","أسهم الجليد"
"specials.name.arrows_of_fury","سهام الغضب"
"specials.name.artful_backstab","طعنة خلفية خادعة"
"specials.name.artful_recreation","إصلاح التحفة الفنية"
"specials.name.artisans_shot","طلقة حرفي"
"specials.name.ashes_to_ashes","من الرماد إلى الرماد"
"specials.name.assassins_blades","أنصال القاتل"
"specials.name.assassins_in_the_night","قتلة في الليل"
"specials.name.assassins_in_the_night_pve","قتلة في الليل"
"specials.name.asterius","اندفاع الثور الوحشي"
"specials.name.astral_assistance","المساعدة النجمية"
"specials.name.astral_brew","مشروب نجمي"
"specials.name.astral_dominion","السيادة النجمية"
"specials.name.astral_gemstones","الأحجار الكريمة النجمية"
"specials.name.astral_madness_unleashed","إطلاق العنان للجنون النجمي"
"specials.name.astral_myrrh","شجرة المر النجمية"
"specials.name.astral_orb","الكرة النجمية"
"specials.name.astral_pastries","المخبوزات النجمية"
"specials.name.astral_provocation","التحفيز النجمي"
"specials.name.astral_summon","استدعاء الأقزام النجميين"
"specials.name.athenas_arrow","قوس أثينا"
"specials.name.athenas_bow","قوس أثينا"
