"KEY","TEXT"
"account_deletion.cancel_request.button","取消删除"
"account_deletion.dialog.cancel_request.message","您确定要[#ff362e]取消[#]账户删除的操作吗？"
"account_deletion.dialog.cancel_request.title","取消删除"
"account_deletion.dialog.cancelled.message","账户删除的操作已取消。"
"account_deletion.dialog.cancelled.title","删除已取消"
"account_deletion.dialog.final_confirmation.player_name_and_id","玩家名称：{0}
账号：{1}"
"account_deletion.dialog.final_confirmation.region","您目前位于：{0}

我们将根据当地法律处理您的请求。如果此位置不正确，请从以下列表中选择正确的位置："
"account_deletion.dialog.final_confirmation.region_unknown","我们将根据当地法律处理您的请求。请从以下列表中选择您的位置："
"account_deletion.dialog.final_confirmation.remember_id","如果您以后需要就账户删除问题与我们联系，请记下上方显示的账号。"
"account_deletion.dialog.final_confirmation.title","账户删除"
"account_deletion.dialog.give_reason.message","请告诉我们您为何想要删除您的账户。"
"account_deletion.dialog.give_reason.title","删除原因"
"account_deletion.dialog.in_progress.message","我们已收到您的请求，将很快进行处理。

游戏：《帝国与谜题》
账号：{0}

您将有最多7天的时间来取消此删除请求。"
"account_deletion.dialog.in_progress.title","账户删除处理中"
"account_deletion.dialog.restart_game.message","本作的设计理念旨在让您所建设的帝国和您一同成长，因此[#!]重置进度并不会为您带来任何实际的好处[#]。《帝国与谜题》是按每个玩家只有一个账户的前提来设计的。您玩得越久，便会发现越多有用的英雄和物品。

[#!]请注意，在游戏中不可能发生“建错”建筑物的情况[#]。随着游戏的进行，您最后总会拥有所有可建造的建筑物。"
"account_deletion.dialog.restart_game.title","重新开始游戏"
"account_deletion.dialog.start_process.message","提交删除请求后，您的游戏帐户和游戏进程将[#!]立即被封禁[#]。一旦删除请求完成，[#!]将无法撤销[#]。

[#!]您的所有游戏进度都将丢失[#]，包括您获得或购买的虚拟货币或物品。我们将无法继续协助您处理与此游戏相关的退款或其他待处理的支持请求。

如果您希望阻止现有帐户上的付款或暂停帐户上的游戏，而非删除，请联系玩家支持。

请注意，删除此游戏帐户不会取消现有的订阅。[#!]订阅必须通过订阅提供商（如Apple、Google等）来取消。[#]

删除帐户的操作不会阻止您创建新帐户并在游戏中重新开始。"
"account_deletion.dialog.start_process.title","在删除此游戏帐户之前，请考虑以下事项："
"account_deletion.reason_option.bugs_issues","太多错误/问题"
"account_deletion.reason_option.disagree_with_policy","不同意条款/隐私政策"
"account_deletion.reason_option.harassment_abuse","遭到骚扰/辱骂"
"account_deletion.reason_option.no_longer_play","决定退游"
"account_deletion.reason_option.other","其它"
"account_deletion.reason_option.restart_game","我想重新开始游戏"
"account_deletion.reason_option.select_reason","[选择原因]"
"account_deletion.region_dropdown.other","其它（未列出）"
"account_deletion.region_dropdown.select_region","[选择地区]"
"account_deletion.terms_checkbox","我想删除此游戏帐户。我清楚一旦删除请求完成，就无法撤销操作，我将失去在此游戏中的所有进度和累积的虚拟物品。"
"accountswitch.cloud","云端"
"accountswitch.current","当前账号"
"accountswitch.keep","保留"
"accountswitch.message","你可以选择保存进度，或先取消待稍后决定。"
"accountswitch.replace_cloud","仅保存此项"
"accountswitch.replace_cloud.info","如果确定要用此账号替换云端账号，请确认链接。"
"accountswitch.replace_cloud.title","替换云端账号"
"accountswitch.replace_current.info","如果确定要用云端账号替换当前账号，请确认链接。"
"accountswitch.replace_current.title","替换当前账号"
"accountswitch.stronghold","要塞等级"
"accountswitch.switch","加载"
"accountswitch.title","选择账号"
"accountswitch.trophies","奖杯"
"accountswitch.xp","经验等级"
"ads.disabled.popup.description","此版本不支持广告功能，但仍可获得奖励。"
"ads.disabled.popup.title","没有可观看的广告"
"advanced_buildings.title#1","新的高级建筑已解锁"
"advanced_buildings.title#2","新的高级建筑已解锁"
"advanced_buildings.title#3","New Advanced Buildings unlocked (THIRD FORM)"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","每场战斗开始时，此英雄获得{ATTACK}%攻击力，持续{TURNS}回合。

在拥有多个波次的战斗中，该效果将在每一波开始时刷新。"
"aetherpower.statuseffect.minor.aetherpowerberserk.single.allies","每场战斗开始时，此英雄获得{ATTACK}%攻击力，每次被击中后额外增加{CHANGE}%攻击力，持续{TURNS}回合，最多增加{MAXMODIFIER}%攻击力。

在拥有多个波次的战斗中，该效果将在每一波开始时刷新。"
"aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies","每场战斗开始时，此英雄获得{DEFENSE}%防御力，每次被击中后额外增加{CHANGE}%防御力，持续{TURNS} 回合，最多增加{MAXMODIFIER}%防御力。

在拥有多个波次的战斗中，该效果将在每一波开始时刷新。"
"aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies","每场战斗开始时，此英雄因状态异常受到的伤害降低{MULTIPLIER}%，持续{TURNS}回合。

在拥有多个波次的战斗中，该效果将在每一波开始时刷新。"
"aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies","每场战斗开始时，此英雄获得{DEFENSE}%防御，持续{TURNS}回合。

在拥有多个波次的战斗中，该效果将在每一波开始时刷新。"
"aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff","每场战斗开始时，此英雄身上的状态异常将在每回合结束时净化，持续{TURNS}回合。

在拥有多个波次的战斗中，该效果将在每一波开始时刷新。"
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies","每场战斗开始时，此英雄在{TURNS}回合内获得共计{TOTAL}点生命加成。提高的生命值可以超过最大生命值。

在拥有多个波次的战斗中，该效果将在每一波开始时刷新。"
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies","每场战斗开始时，此英雄在{TURNS}回合内恢复共计{TOTAL}点生命。

在拥有多个波次的战斗中，该效果将在每一波开始时刷新。"
