"quests.name.ancient_dragon","الجذور العتيقة"
"quests.name.ascension","اعثر على أدوات التدريب"
"quests.name.astralelves","العالم النجمي"
"quests.name.battle_item","اعثر على أدوات المعارك"
"quests.name.battle_item_uncommon","اعثر على أدوات المعارك II"
"quests.name.beachparty","حفلة الشاطئ"
"quests.name.beowulf","تحدي بيوولف"
"quests.name.castle","صراع الفرسان"
"quests.name.circus","سيرك ستارفول"
"quests.name.class_decimate","اختبارات الهلاك"
"quests.name.class_fortitude","اختبارات الصرامة"
"quests.name.class_inner_peace","اختبارات السكون"
"quests.name.class_justice","اختبارات العدالة"
"quests.name.class_mystic","اختبارات التصوّف"
"quests.name.class_nature","اختبارات الطبيعة"
"quests.name.class_piety","اختبارات التقوى"
"quests.name.class_shadows","اختبارات الظلال"
"quests.name.class_strength","اختبارات القوة"
"quests.name.class_survivor","اختبارات النجاة"
"quests.name.costume_quest1","الحفلة التنكرية"
"quests.name.covenant","مهمة المعاهدة"
"quests.name.covenant_1","مهمة المعاهدة"
"quests.name.covenant_2","مهمة المعاهدة"
"quests.name.crafting","اعثر على مواد تصنيع"
"quests.name.crafting_uncommon","اعثر على مواد تصنيع II"
"quests.name.dragon_battle_and_crafting","ليلة العناصر"
"quests.name.dragon_cave_classic","كهف التنين"
"quests.name.dragon_dragonlings_and_xp","أنقذ صغار التنانين"
"quests.name.dragon_dragonstone_and_fish","نهر الموارد"
"quests.name.dragon_element_blue","مغارة الياقوت الأزرق"
"quests.name.dragon_element_extra","مغارة قوس قزح"
"quests.name.dragon_element_extra2","مغارة المجوهرات"
"quests.name.dragon_element_green","مغارة اليشم"
"quests.name.dragon_element_purple","مغارة الجمشت"
"quests.name.dragon_element_red","مغارة الياقوت"
"quests.name.dragon_element_yellow","مغارة التوباز"
"quests.name.dragon_legendary","مهمة تنين أسطورية"
"quests.name.dragon_scroll","مغارة المخطوطات"
"quests.name.element_blue","مسيرة الصقيع"
"quests.name.element_extra","ممر فارهولم"
"quests.name.element_extra2","ممر فارهولم"
"quests.name.element_green","شرايكوود"
"quests.name.element_purple","مورلوفيا"
"quests.name.element_red","جبل آمبر"
"quests.name.element_yellow","صحراء شايلو"
"quests.name.festival","مهرجان التحدي 1"
"quests.name.festival_b","مهرجان التحدي 2"
